exit_date,entry_price,exit_price,return_pct,ticker
2024-01-10,226.9,227.84,0.00414279418245922,BA
2024-01-17,202.63,203.06,0.0021220944578790313,BA
2024-01-18,205.64,211.61,0.029031316864423395,BA
2024-01-19,210.89,215.02,0.019583669211437282,BA
2024-01-26,203.08,205.47,0.011768761079377521,BA
2024-03-14,182.0,181.15,-0.004670329670329654,BA
2024-03-15,180.99,182.53,0.00850875738991097,BA
2024-03-18,180.26,179.84,-0.0023299678242537647,BA
2024-03-19,180.11,181.14,0.005718727444339322,BA
2024-03-20,178.99,187.78,0.049108888764735514,BA
2024-03-21,189.79,187.7,-0.01101217134727861,BA
2024-04-15,170.74,167.82,-0.017102026472999965,BA
2024-04-16,168.14,170.55,0.014333293683834958,BA
2024-04-25,163.59,166.81,0.019683354728284197,BA
2024-04-26,165.98,167.22,0.007470779612001488,BA
2024-09-04,160.28,163.22,0.01834289992513094,BA
