exit_date,entry_price,exit_price,return_pct,entry_date
2007-03-06,26.25,26.25,0.0,2007-03-06
2007-12-18,34.78,35.21,0.012363427257044313,2007-12-18
2007-12-21,34.81,34.59,-0.006320022981901707,2007-12-21
2008-01-09,26.58,27.39,0.030474040632054278,2008-01-09
2008-01-10,27.06,29.65,0.09571322985957131,2008-01-10
2008-01-16,26.995,27.26,0.009816632709761075,2008-01-16
2008-01-18,26.47,26.52,0.0018889308651304226,2008-01-18
2008-01-24,23.07,24.58,0.06545296922410038,2008-01-24
2008-01-25,25.3,24.79,-0.020158102766798525,2008-01-25
2008-06-27,23.76,23.9,0.005892255892255838,2008-06-27
2008-07-01,22.8,23.45,0.028508771929824483,2008-07-01
2008-07-07,22.5,22.35,-0.006666666666666599,2008-07-07
2008-07-08,22.26,22.52,0.011680143755615324,2008-07-08
2008-07-10,21.6,21.57,-0.001388888888888995,2008-07-10
2008-07-15,20.55,20.41,-0.0068126520681265346,2008-07-15
2008-07-16,19.65,21.53,0.09567430025445312,2008-07-16
2008-07-17,21.59,21.56,-0.001389532190829157,2008-07-17
2008-08-08,16.39,17.01,0.03782794386821231,2008-08-08
2008-09-11,11.26,11.56,0.026642984014209725,2008-09-11
2008-09-12,11.53,12.0,0.040763226366001826,2008-09-12
2008-09-18,10.42,10.07,-0.03358925143953928,2008-09-18
2008-09-19,11.08,11.28,0.018050541516245522,2008-09-19
2008-09-30,10.0,10.08,0.008000000000000007,2008-09-30
2008-10-08,7.83,7.97,0.017879948914431676,2008-10-08
2008-10-10,6.91,7.27,0.052098408104196636,2008-10-10
2008-10-13,7.84,8.46,0.07908163265306145,2008-10-13
2009-10-07,13.42,13.44,0.0014903129657226621,2009-10-07
2010-10-20,13.75,13.88,0.009454545454545604,2010-10-20
2011-06-10,18.82,19.04,0.011689691817215575,2011-06-10
2011-06-14,18.77,18.86,0.004794885455514208,2011-06-14
2011-06-20,16.65,16.96,0.0186186186186188,2011-06-20
2011-06-21,16.72,17.59,0.052033492822966654,2011-06-21
2011-06-22,17.45,17.99,0.030945558739254864,2011-06-22
2011-06-23,17.72,18.56,0.04740406320541757,2011-06-23
2011-07-15,16.02,16.27,0.015605493133582948,2011-07-15
2011-07-19,15.8,16.27,0.02974683544303791,2011-07-19
2011-08-03,14.08,14.53,0.03196022727272729,2011-08-03
2011-08-09,11.33,12.09,0.06707855251544581,2011-08-09
2011-08-10,11.73,11.45,-0.023870417732310356,2011-08-10
2011-08-11,11.7,13.07,0.11709401709401712,2011-08-11
2011-08-12,13.28,12.82,-0.034638554216867457,2011-08-12
2012-05-07,13.25,13.31,0.004528301886792541,2012-05-07
2012-05-10,12.55,12.06,-0.03904382470119527,2012-05-10
2012-05-11,11.97,13.1,0.0944026733500416,2012-05-11
2012-05-14,12.9,13.265,0.028294573643410814,2012-05-14
2012-05-21,11.59,12.25,0.056945642795513285,2012-05-21
2012-07-18,13.58,14.2,0.04565537555228261,2012-07-18
2012-08-31,13.6,13.67,0.0051470588235293935,2012-08-31
2012-09-04,13.65,13.74,0.00659340659340657,2012-09-04
2012-09-05,13.75,13.95,0.014545454545454417,2012-09-05
2012-09-06,14.02,14.37,0.024964336661911446,2012-09-06
2014-04-08,20.36,20.44,0.003929273084479545,2014-04-08
2014-04-14,19.69,19.43,-0.013204672422549635,2014-04-14
2014-09-05,18.98,19.38,0.021074815595363505,2014-09-05
2014-09-23,17.76,17.78,0.0011261261261261701,2014-09-23
2014-10-01,16.74,16.72,-0.0011947431302269385,2014-10-01
2014-10-02,16.72,16.77,0.0029904306220096544,2014-10-02
2014-10-07,16.18,15.84,-0.021013597033374576,2014-10-07
2014-10-08,15.91,16.27,0.022627278441231802,2014-10-08
2014-10-14,14.35,14.16,-0.013240418118466879,2014-10-14
2014-10-15,13.96,14.54,0.04154727793696256,2014-10-15
2014-10-16,14.52,15.1,0.03994490358126712,2014-10-16
2014-10-17,15.31,15.13,-0.011757021554539504,2014-10-17
2015-08-21,21.23,21.68,0.021196420160150664,2015-08-21
2015-08-25,21.32,20.4,-0.04315196998123838,2015-08-25
2015-12-15,19.42,19.35,-0.003604531410916545,2015-12-15
2015-12-16,19.49,19.3,-0.00974858902001019,2015-12-16
2015-12-17,19.46,19.74,0.014388489208633004,2015-12-17
2015-12-18,19.66,19.8,0.007121057985757906,2015-12-18
2015-12-21,19.96,20.32,0.018036072144288484,2015-12-21
2015-12-22,20.32,20.4,0.003937007874015741,2015-12-22
2016-01-11,18.33,18.16,-0.009274413529732572,2016-01-11
2016-01-12,18.73,18.57,-0.008542445274959953,2016-01-12
2016-01-21,17.5,17.45,-0.0028571428571428914,2016-01-21
2016-03-04,17.17,17.28,0.006406523005241693,2016-03-04
2016-03-08,16.95,16.63,-0.01887905604719764,2016-03-08
2016-03-09,16.75,17.45,0.04179104477611939,2016-03-09
2016-06-28,18.24,18.34,0.005482456140351033,2016-06-28
2016-06-29,18.52,18.64,0.006479481641468832,2016-06-29
2017-03-14,23.05,22.85,-0.008676789587852451,2017-03-14
2017-03-15,22.87,23.74,0.038041101880192274,2017-03-15
2017-04-06,21.98,22.07,0.0040946314831664665,2017-04-06
2017-09-01,21.8,22.06,0.011926605504587018,2017-09-01
2017-09-06,21.81,21.82,0.0004585052728107719,2017-09-06
2017-09-08,21.47,21.72,0.011644154634373516,2017-09-08
2017-09-11,21.94,21.64,-0.013673655423883324,2017-09-11
2017-11-03,19.94,20.14,0.010030090270812364,2017-11-03
2018-06-01,23.2,23.41,0.009051724137931094,2018-06-01
2019-05-14,33.37,33.21,-0.004794725801618105,2019-05-14
2019-05-15,32.89,33.3,0.012465795074490638,2019-05-15
2019-05-16,33.66,34.04,0.011289364230540722,2019-05-16
2019-05-17,33.56,34.61,0.03128724672228844,2019-05-17
2019-08-16,40.6,41.07,0.011576354679802892,2019-08-16
2020-02-28,37.91,38.45,0.01424426272751278,2020-02-28
2020-03-02,38.86,39.66,0.020586721564590738,2020-03-02
2020-03-03,40.0,40.02,0.000500000000000167,2020-03-03
2020-03-13,36.82,37.02,0.005431830526887671,2020-03-13
2020-03-16,32.19,35.06,0.08915812364088249,2020-03-16
2020-03-17,35.18,39.23,0.1151222285389426,2020-03-17
2020-09-11,40.91,41.55,0.01564409679784906,2020-09-11
2020-09-14,42.13,42.57,0.010443864229765065,2020-09-14
2020-09-21,40.4,40.59,0.004702970297029818,2020-09-21
2020-09-22,41.0,41.11,0.002682926829268295,2020-09-22
2020-09-24,39.12,38.82,-0.0076687116564416735,2020-09-24
2020-09-25,39.11,39.32,0.005369470723600056,2020-09-25
2020-09-28,39.91,39.78,-0.0032573289902279035,2020-09-28
2020-10-30,38.61,39.39,0.020202020202020332,2020-10-30
2021-03-08,49.37,49.2,-0.003443386672067894,2021-03-08
2021-05-03,50.64,51.36,0.014218009478673022,2021-05-03
2021-05-05,51.06,51.35,0.0056795926361143945,2021-05-05
2021-09-22,51.09,50.9,-0.003718927383049575,2021-09-22
2022-01-24,64.44,65.38,0.014587212911235214,2022-01-24
2022-03-08,58.71,58.22,-0.008346107988417728,2022-03-08
2022-03-09,60.18,59.37,-0.013459621136590272,2022-03-09
2022-03-14,54.92,53.7,-0.022214129643117198,2022-03-14
2022-03-15,54.145,56.61,0.04552590266875978,2022-03-15
2022-03-16,57.17,57.9,0.012768934755990946,2022-03-16
2022-05-13,51.1,52.36,0.024657534246575352,2022-05-13
2022-06-14,43.19,42.6,-0.013660569576290693,2022-06-14
2022-06-15,43.73,44.49,0.017379373427852896,2022-06-15
2022-06-17,42.86,43.56,0.01633224451703219,2022-06-17
2022-09-07,42.84,43.54,0.016339869281045694,2022-09-07
2022-09-08,43.21,43.87,0.015274242073594069,2022-09-08
2022-09-09,43.89,44.33,0.010025062656641603,2022-09-09
2022-09-12,44.75,44.6,-0.003351955307262511,2022-09-12
2022-09-14,42.59,42.71,0.0028175628081708037,2022-09-14
2022-09-21,40.79,40.74,-0.0012257906349595338,2022-09-21
2022-09-22,40.54,41.04,0.012333497779970504,2022-09-22
2022-09-27,40.15,40.36,0.00523038605230397,2022-09-27
2022-09-28,40.79,42.12,0.032606030889923865,2022-09-28
2022-10-12,39.43,39.45,0.0005072279989857265,2022-10-12
2023-04-27,45.12,45.59,0.01041666666666674,2023-04-27
2023-04-28,45.53,46.04,0.011201405666593445,2023-04-28
2023-05-10,43.73,43.62,-0.002515435627715501,2023-05-10
2023-06-07,42.54,43.28,0.0173953925716972,2023-06-07
2023-10-06,43.64,44.75,0.025435380384967843,2023-10-06
2024-03-08,53.03,54.28,0.02357156326607579,2024-03-08
2024-04-16,44.62,45.03,0.009188704616763799,2024-04-16
2024-04-19,43.79,43.56,-0.005252340717058601,2024-04-19
2024-04-22,43.75,43.92,0.00388571428571427,2024-04-22
2024-04-23,43.78,44.72,0.021470991320237554,2024-04-23
2024-04-24,45.0,45.04,0.000888888888888939,2024-04-24
2025-01-28,79.02,80.05,0.013034674765882048,2025-01-28
2025-03-05,73.85,75.25,0.018957345971563955,2025-03-05
2025-03-07,68.63,68.93,0.004371266210112301,2025-03-07
2025-03-11,61.78,63.95,0.03512463580446745,2025-03-11
2025-03-12,66.21,66.4,0.0028696571514879032,2025-03-12
2025-03-14,64.05,63.84,-0.003278688524590012,2025-03-14
2025-04-07,50.17,55.22,0.10065776360374712,2025-04-07
2025-04-08,57.49,54.03,-0.06018437989215519,2025-04-08
