exit_date,entry_price,exit_price,return_pct,entry_date
2007-03-05,18.98,19.1099,0.006844046364594236,2007-03-05
2007-03-06,19.34,19.4,0.0031023784901758056,2007-03-06
2007-03-08,19.28,19.23,-0.002593360995850613,2007-03-08
2008-01-07,22.8,22.88,0.0035087719298245723,2008-01-07
2008-01-09,22.4,22.75,0.015625,2008-01-09
2008-01-11,22.25,21.99,-0.01168539325842699,2008-01-11
2008-01-14,22.89,23.08,0.00830056793359546,2008-01-14
2008-01-22,18.2,18.63,0.023626373626373542,2008-01-22
2008-01-23,18.33,19.98,0.09001636661211143,2008-01-23
2008-01-24,20.1525,20.69,0.026671628830170047,2008-01-24
2008-09-05,20.35,20.61,0.012776412776412727,2008-09-05
2008-09-08,20.98,20.97,-0.00047664442326034173,2008-09-08
2008-09-11,19.97,20.19,0.011016524787180959,2008-09-11
2008-09-16,18.79,19.48,0.03672166045769032,2008-09-16
2008-09-18,18.43,19.26,0.04503526858383089,2008-09-18
2008-10-13,16.18,16.99,0.05006180469715682,2008-10-13
2010-05-07,21.26,21.31,0.002351834430855959,2010-05-07
2010-05-10,22.29,22.55,0.01166442350829966,2010-05-10
2010-08-12,19.17,19.45,0.014606155451225789,2010-08-12
2010-08-13,19.33,19.15,-0.009311950336264863,2010-08-13
2010-08-20,18.92,18.91,-0.0005285412262157063,2010-08-20
2010-08-25,18.25,18.48,0.012602739726027323,2010-08-25
2010-08-27,18.23,18.37,0.0076796489303345705,2010-08-27
2010-08-31,17.88,17.665,-0.012024608501118528,2010-08-31
2010-09-01,17.94,18.14,0.011148272017837302,2010-09-01
2011-01-10,20.71,20.69,-0.0009657170449057784,2011-01-10
2011-03-17,20.02,19.9,-0.005994005994006013,2011-03-17
2011-08-09,20.28,20.6,0.015779092702169706,2011-08-09
2011-08-10,20.27,19.93,-0.016773556980759774,2011-08-10
2011-08-11,20.14,20.76,0.030784508440913738,2011-08-11
2012-05-24,25.57,25.65,0.003128666405944447,2012-05-24
2012-08-27,24.86,24.84,-0.0008045052292839916,2012-08-27
2012-08-28,24.79,25.0,0.008471157724889045,2012-08-28
2012-08-30,24.57,24.27,-0.012210012210012278,2012-08-30
2012-08-31,24.5,24.83,0.01346938775510198,2012-08-31
2012-09-11,23.3,23.34,0.0017167381974247942,2012-09-11
2012-09-12,23.39,23.19,-0.008550662676357401,2012-09-12
2012-09-13,23.01,23.355,0.014993481095175953,2012-09-13
2012-09-14,23.45,23.37,-0.0034115138592749616,2012-09-14
2012-10-12,21.58,21.4803,-0.00462001853568117,2012-10-12
2012-10-15,21.53,21.73,0.009289363678588014,2012-10-15
2012-11-15,20.01,20.03,0.0009995002498750516,2012-11-15
2012-11-19,19.99,20.25,0.013006503251626,2012-11-19
2012-11-21,19.52,19.36,-0.008196721311475419,2012-11-21
2012-11-23,19.53,19.72,0.00972862263184826,2012-11-23
2013-02-22,20.32,20.42,0.004921259842519676,2013-02-22
2013-02-25,20.57,20.23,-0.016528925619834656,2013-02-25
2013-08-16,22.06,21.915,-0.006572982774252001,2013-08-16
2013-08-19,22.08,22.28,0.009057971014492905,2013-08-19
2014-02-05,23.7,23.52,-0.0075949367088608,2014-02-05
2014-02-06,23.6,23.99,0.016525423728813493,2014-02-06
2014-10-13,31.72,31.47,-0.007881462799495642,2014-10-13
2014-10-14,31.99,32.14,0.0046889653016568555,2014-10-14
2014-10-16,30.89,30.85,-0.001294917449012556,2014-10-16
2015-01-28,34.47,33.775,-0.02016246011024081,2015-01-28
2015-02-03,33.78,33.7,-0.002368265245707435,2015-02-03
2015-03-11,31.97,32.33,0.011260556771973684,2015-03-11
2015-03-13,30.63,30.93,0.009794319294809117,2015-03-13
2015-03-17,30.58,30.59,0.0003270111183781843,2015-03-17
2015-03-18,30.41,30.89,0.015784281486353136,2015-03-18
2015-03-19,30.78,30.74,-0.001299545159194393,2015-03-19
2015-03-27,30.01,32.0,0.06631122959013647,2015-03-27
2015-06-09,31.33,31.25,-0.0025534631343759884,2015-06-09
2015-07-10,29.2,29.17,-0.001027397260273899,2015-07-10
2015-07-13,29.27,29.73,0.01571574991458835,2015-07-13
2015-08-25,27.04,25.87,-0.043269230769230727,2015-08-25
2015-08-26,26.51,27.3,0.029800075443229046,2015-08-26
2016-01-08,32.09,31.51,-0.018074166406980452,2016-01-08
2016-01-11,31.81,32.06,0.007859163784973422,2016-01-11
2016-01-12,32.76,32.68,-0.0024420024420024333,2016-01-12
2016-01-19,29.98,29.8,-0.006004002668445585,2016-01-19
2016-01-21,29.65,29.66,0.0003372681281619272,2016-01-21
2016-01-22,30.12,29.925,-0.006474103585657365,2016-01-22
2016-01-25,29.99,29.6,-0.013004334778259352,2016-01-25
2016-01-26,29.61,29.94,0.011144883485309176,2016-01-26
2016-02-04,29.14,29.77,0.021619766643788507,2016-02-04
2016-10-24,35.43,35.26,-0.004798193621225022,2016-10-24
2016-11-04,33.53,33.61,0.0023859230539815535,2016-11-04
2016-11-07,34.24,34.69,0.013142523364485958,2016-11-07
2017-02-13,35.57,35.8,0.00646612313747541,2017-02-13
2017-06-30,33.87,33.74,-0.0038382049010923236,2017-06-30
2018-06-28,48.58,49.25,0.013791683820502332,2018-06-28
2018-06-29,49.53,49.71,0.00363416111447612,2018-06-29
2018-07-30,47.63,47.69,0.001259710266638514,2018-07-30
2018-07-31,48.24,48.1,-0.0029021558872305286,2018-07-31
2018-08-01,48.06,48.81,0.015605493133582948,2018-08-01
2018-09-12,44.56,44.93,0.008303411131059146,2018-09-12
2018-09-13,45.68,45.57,-0.0024080560420315367,2018-09-13
2019-05-02,50.8,50.55,-0.004921259842519676,2019-05-02
2019-05-03,51.08,51.75,0.013116679718089275,2019-05-03
2019-05-14,45.18,45.17,-0.0002213368747232547,2019-05-14
2019-05-15,44.92,45.62,0.01558325912733749,2019-05-15
2019-05-21,44.34,44.46,0.0027063599458727605,2019-05-21
2019-05-22,44.15,44.0,-0.003397508493771184,2019-05-22
2019-05-23,43.37,44.53,0.026746599031588714,2019-05-23
2019-05-24,44.59,44.57,-0.0004485310607760251,2019-05-24
2019-05-29,43.35,44.23,0.020299884659746192,2019-05-29
2019-05-30,44.3,44.73,0.009706546275395134,2019-05-30
2020-02-28,54.3,55.52,0.022467771639042455,2020-02-28
2020-03-02,55.79,58.18,0.0428392184979387,2020-03-02
2020-03-03,58.03,55.97,-0.03549887988971223,2020-03-03
2020-03-04,57.01,58.68,0.02929310647254879,2020-03-04
2020-03-10,52.76,53.98,0.023123578468536854,2020-03-10
2020-03-12,47.99,45.54,-0.05105230256303406,2020-03-12
2020-03-13,48.26,54.43,0.1278491504351431,2020-03-13
2020-03-17,45.76,50.08,0.09440559440559437,2020-03-17
2020-07-31,48.13,47.73,-0.008310824849366405,2020-07-31
2020-08-03,48.27,48.3,0.0006215040397761218,2020-08-03
2020-08-04,48.6,49.13,0.010905349794238628,2020-08-04
2020-08-07,48.53,48.03,-0.010302905419328212,2020-08-07
2020-08-10,48.2,49.22,0.021161825726141004,2020-08-10
2020-10-29,44.24,44.11,-0.002938517179023603,2020-10-29
2020-10-30,44.1,44.28,0.004081632653061273,2020-10-30
2020-11-02,44.96,44.46,-0.011120996441281172,2020-11-02
2020-11-03,44.73,44.85,0.0026827632461436934,2020-11-03
2020-11-04,45.11,45.7,0.013079139880292745,2020-11-04
2020-12-22,46.25,46.17,-0.0017297297297297343,2020-12-22
2021-04-28,57.52,57.62,0.00173852573018074,2021-04-28
2021-04-29,57.88,58.28,0.006910850034554272,2021-04-29
2021-05-05,56.96,56.85,-0.0019311797752809001,2021-05-05
2021-05-13,54.04,54.01,-0.0005551443375277909,2021-05-13
2021-05-14,54.6046,55.35,0.013650864579174637,2021-05-14
2021-07-26,52.81,54.31,0.02840371141829201,2021-07-26
2021-10-28,48.14,48.08,-0.0012463647694225255,2021-10-28
2021-10-29,48.1,49.0,0.018711018711018657,2021-10-29
2021-11-01,49.4,49.55,0.0030364372469635637,2021-11-01
2022-01-28,47.71,47.73,0.0004191993292810281,2022-01-28
2022-01-31,47.68,48.82,0.023909395973154446,2022-01-31
2022-02-23,45.17,44.65,-0.011512065530219218,2022-02-23
2022-02-25,46.93,47.71,0.016620498614958512,2022-02-25
2022-06-14,38.01,37.93,-0.00210470928702966,2022-06-14
2022-06-15,38.56,38.65,0.002334024896265552,2022-06-15
2022-06-17,37.48,36.97,-0.013607257203842038,2022-06-17
2022-06-21,37.36,37.73,0.009903640256959223,2022-06-21
2022-07-05,35.93,36.69,0.02115224046757569,2022-07-05
2022-07-06,36.82,36.99,0.004617055947854443,2022-07-06
2022-08-01,36.05,36.96,0.025242718446601975,2022-08-01
