exit_date,entry_price,exit_price,return_pct,entry_date
2007-11-13,30.05,31.21,0.03860232945091524,2007-11-13
2007-11-21,28.3,29.04,0.026148409893992808,2007-11-21
2007-11-23,29.14,29.49,0.012010981468771442,2007-11-23
2008-01-14,27.19,28.19,0.036778227289444576,2008-01-14
2008-01-23,24.39,24.6,0.008610086100861114,2008-01-23
2008-01-24,25.27,26.3,0.04075979422239806,2008-01-24
2008-06-19,22.51,23.31,0.03553976010661919,2008-06-19
2008-06-23,22.77,22.98,0.00922266139657446,2008-06-23
2008-07-02,21.7,21.87,0.007834101382488523,2008-07-02
2008-09-30,20.96,21.07,0.005248091603053506,2008-09-30
2008-10-03,18.24,18.56,0.01754385964912286,2008-10-03
2008-10-06,18.29,18.9,0.03335155822854019,2008-10-06
2008-10-08,16.91,17.26,0.020697811945594502,2008-10-08
2008-10-10,15.68,16.46,0.04974489795918369,2008-10-10
2008-10-13,17.28,18.97,0.09780092592592582,2008-10-13
2009-02-02,13.9,14.45,0.03956834532374098,2009-02-02
2009-02-03,14.59,14.31,-0.01919122686771757,2009-02-03
2010-05-07,27.39,26.73,-0.02409638554216864,2010-05-07
2010-05-10,27.86,28.18,0.011486001435750293,2010-05-10
2010-07-02,23.14,24.08,0.04062229904926529,2010-07-02
2010-08-13,25.64,25.63,-0.0003900156006241273,2010-08-13
2011-01-24,34.95,34.88,-0.0020028612303290005,2011-01-24
2011-01-25,34.76,34.82,0.0017261219792865656,2011-01-25
2011-06-02,33.2,33.62,0.012650602409638445,2011-06-02
2011-06-06,32.2,31.45,-0.02329192546583858,2011-06-06
2011-06-07,32.16,32.62,0.014303482587064709,2011-06-07
2011-06-14,29.67,30.46,0.02662622177283458,2011-06-14
2011-06-16,29.51,29.49,-0.0006777363605559028,2011-06-16
2011-06-17,29.79,29.33,-0.015441423296408185,2011-06-17
2011-08-02,22.84,22.76,-0.003502626970227629,2011-08-02
2011-08-03,22.8,23.59,0.034649122807017596,2011-08-03
2011-08-05,22.56,22.23,-0.014627659574467988,2011-08-05
2011-08-09,20.77,21.52,0.03610977371208479,2011-08-09
2011-08-10,20.96,20.67,-0.013835877862595325,2011-08-10
2011-08-11,20.9,22.13,0.058851674641148266,2011-08-11
2011-08-12,22.27,22.18,-0.00404131118096096,2011-08-12
2011-08-22,20.13,19.72,-0.02036761053154501,2011-08-22
2011-08-23,20.0,20.9,0.04499999999999993,2011-08-23
2012-07-18,14.25,15.21,0.06736842105263174,2012-07-18
2013-03-20,18.84,19.31,0.02494692144373678,2013-03-20
2013-03-22,18.99,18.72,-0.01421800947867291,2013-03-22
2013-04-08,17.85,17.83,-0.0011204481792719267,2013-04-08
2013-04-25,15.78,15.91,0.00823827629911289,2013-04-25
2013-04-26,15.86,15.79,-0.004413619167717542,2013-04-26
2013-04-29,15.84,16.06,0.01388888888888884,2013-04-29
2013-04-30,16.06,16.55,0.030510585305105975,2013-04-30
2013-08-28,18.97,19.01,0.0021085925144967987,2013-08-28
2013-08-30,18.94,18.9,-0.0021119324181627652,2013-08-30
2014-07-24,22.44,23.21,0.034313725490195957,2014-07-24
2014-07-25,23.17,23.25,0.0034527406128614935,2014-07-25
2014-10-14,18.73,18.77,0.0021356113187398496,2014-10-14
2014-10-15,18.54,19.13,0.03182308522114341,2014-10-15
2014-10-16,18.83,19.19,0.019118428040361346,2014-10-16
2014-10-17,19.38,19.48,0.005159958720330371,2014-10-17
2014-10-20,19.37,19.8,0.022199277232834325,2014-10-20
2015-08-25,26.21,24.88,-0.0507439908431897,2015-08-25
2015-08-26,25.57,25.57,0.0,2015-08-26
2015-08-27,25.77,26.0,0.008925106713232545,2015-08-27
2015-09-02,25.35,25.31,-0.0015779092702170594,2015-09-02
2015-12-22,27.39,27.51,0.004381161007667167,2015-12-22
2015-12-23,27.65,27.65,0.0,2015-12-23
2016-01-11,25.91,26.01,0.003859513701273798,2016-01-11
2016-01-12,26.29,26.25,-0.001521491061239999,2016-01-12
2016-01-14,25.68,26.16,0.01869158878504673,2016-01-14
2016-01-29,22.95,23.6,0.028322440087146017,2016-01-29
2016-02-01,23.31,24.33,0.04375804375804382,2016-02-01
2016-02-09,21.77,21.99,0.010105649977032671,2016-02-09
2016-02-11,21.49,21.7,0.009771986970684043,2016-02-11
2016-02-12,21.99,21.84,-0.006821282401091366,2016-02-12
2016-02-16,22.01,23.21,0.054520672421626504,2016-02-16
2016-04-13,23.15,23.82,0.02894168466522684,2016-04-13
2016-04-21,23.2,23.38,0.00775862068965516,2016-04-21
2016-06-28,21.44,21.51,0.0032649253731342753,2016-06-28
2016-06-29,21.69,22.07,0.017519594283079698,2016-06-29
2017-01-30,26.59,26.45,-0.005265137269650277,2017-01-30
2017-06-12,28.39,28.86,0.01655512504402945,2017-06-12
2017-10-13,25.43,25.82,0.015336217066457047,2017-10-13
2017-10-16,25.75,26.04,0.011262135922330163,2017-10-16
2017-10-26,24.56,24.86,0.012214983713355165,2017-10-26
2017-10-27,24.94,25.2,0.010425020048115297,2017-10-27
2018-02-01,25.96,26.55,0.022727272727272707,2018-02-01
2018-02-06,25.01,25.54,0.021191523390643674,2018-02-06
2018-02-09,24.92,25.44,0.020866773675762396,2018-02-09
2018-02-12,25.61,25.8,0.007418976962124235,2018-02-12
2018-03-26,24.41,24.6,0.0077836952068823795,2018-03-26
2018-07-30,26.76,26.3,-0.017189835575485812,2018-07-30
2018-08-02,25.68,26.18,0.01947040498442365,2018-08-02
2018-08-03,26.13,26.34,0.008036739380022917,2018-08-03
2018-10-12,27.27,27.32,0.001833516685001868,2018-10-12
2018-10-15,27.32,27.77,0.016471449487554857,2018-10-15
2019-01-31,25.77,25.94,0.00659681800543277,2019-01-31
2019-02-01,26.09,25.81,-0.01073208125718672,2019-02-01
2019-02-04,25.74,26.01,0.010489510489510634,2019-02-04
2019-03-11,25.78,26.17,0.015128006206361455,2019-03-11
2019-05-14,25.57,25.49,-0.003128666405944558,2019-05-14
2019-08-06,25.37,25.24,-0.005124162396531462,2019-08-06
2019-08-07,24.92,25.29,0.014847512038523192,2019-08-07
2019-08-08,25.53,25.61,0.0031335683509596812,2019-08-08
2019-08-16,23.67,23.92,0.01056189269117036,2019-08-16
2019-08-19,24.23,24.12,-0.004539826661163815,2019-08-19
2019-08-21,23.65,23.86,0.008879492600422978,2019-08-21
2019-08-26,23.31,23.14,-0.007293007293007192,2019-08-26
2019-08-28,22.72,22.78,0.002640845070422726,2019-08-28
2019-08-29,23.15,23.17,0.0008639308855293848,2019-08-29
2020-01-30,22.51,22.92,0.018214127054642315,2020-01-30
2020-01-31,22.75,22.94,0.008351648351648366,2020-01-31
2020-02-03,22.89,23.15,0.011358671909130535,2020-02-03
2020-02-28,20.95,21.22,0.01288782816229106,2020-02-28
2020-03-02,21.24,21.88,0.030131826741996326,2020-03-02
2020-03-03,21.84,21.79,-0.0022893772893772812,2020-03-03
2020-03-10,20.39,21.35,0.04708190289357539,2020-03-10
2020-03-13,20.13,20.3,0.008445106805762714,2020-03-13
2020-03-17,18.44,18.52,0.00433839479392617,2020-03-17
2020-09-04,23.24,23.24,0.0,2020-09-04
2020-09-24,21.24,21.16,-0.0037664783427494575,2020-09-24
2020-09-25,21.15,21.39,0.01134751773049647,2020-09-25
2020-09-28,21.74,21.98,0.011039558417663464,2020-09-28
2020-10-30,19.68,19.72,0.00203252032520318,2020-10-30
2020-11-02,19.96,19.67,-0.014529058116232396,2020-11-02
2020-11-03,19.89,20.1,0.010558069381598756,2020-11-03
2022-01-27,31.74,31.45,-0.009136735979836108,2022-01-27
2022-04-28,32.17,32.68,0.015853279452906266,2022-04-28
2022-05-02,31.84,32.24,0.012562814070351758,2022-05-02
2022-05-13,30.0,30.46,0.015333333333333421,2022-05-13
2022-05-20,29.1,28.87,-0.007903780068728494,2022-05-20
2022-05-23,29.13,29.61,0.016477857878475888,2022-05-23
2022-06-14,28.28,28.32,0.0014144271570013522,2022-06-14
2022-06-17,27.57,27.63,0.0021762785636560977,2022-06-17
2022-06-21,28.11,28.39,0.009960868018498825,2022-06-21
2022-07-28,27.97,28.0,0.0010725777618878496,2022-07-28
2023-02-02,31.3,31.45,0.004792332268370503,2023-02-02
2023-04-21,30.71,31.31,0.01953760989905562,2023-04-21
2023-04-27,30.12,29.58,-0.017928286852589737,2023-04-27
2023-04-28,29.6,30.15,0.01858108108108092,2023-04-28
2023-05-05,28.64,28.85,0.007332402234636826,2023-05-05
2023-05-08,28.92,28.9,-0.0006915629322269412,2023-05-08
2023-07-17,28.88,29.33,0.015581717451523591,2023-07-17
2023-07-18,28.93,29.94,0.034911856204632,2023-07-18
2023-07-31,27.83,27.8,-0.0010779734099891636,2023-07-31
2023-08-01,27.85,28.01,0.005745062836624681,2023-08-01
2023-10-06,26.4,26.61,0.007954545454545547,2023-10-06
2024-04-22,36.16,36.11,-0.0013827433628317287,2024-04-22
2024-04-26,34.79,34.71,-0.0022995113538372136,2024-04-26
2024-04-29,34.81,35.15,0.009767308244757134,2024-04-29
2024-05-01,34.75,34.89,0.004028776978417303,2024-05-01
2024-05-03,34.7,34.84,0.004034582132564912,2024-05-03
2024-11-14,38.26,38.41,0.003920543648719299,2024-11-14
2024-11-19,35.33,35.08,-0.007076139258420655,2024-11-19
2024-11-20,35.25,35.66,0.01163120567375886,2024-11-20
2024-11-21,35.6,35.43,-0.004775280898876466,2024-11-21
2024-11-22,35.52,35.91,0.010979729729729604,2024-11-22
2024-11-25,36.04,36.2,0.004439511653718142,2024-11-25
2025-01-31,34.5,34.86,0.01043478260869568,2025-01-31
2025-02-03,34.68,34.59,-0.0025951557093424338,2025-02-03
2025-02-04,34.97,35.65,0.01944523877609372,2025-02-04
2025-02-05,36.0,36.08,0.0022222222222221255,2025-02-05
2025-04-07,33.6,34.14,0.016071428571428514,2025-04-07
2025-04-08,34.48,33.93,-0.01595127610208813,2025-04-08
2025-04-09,33.85,35.15,0.03840472673559825,2025-04-09
