exit_date,entry_price,exit_price,return_pct,entry_date
2019-08-02,188.78,187.71,-0.005667973302256546,2019-08-02
2019-08-05,190.0,190.63,0.003315789473684161,2019-08-05
2019-08-06,190.3,188.76,-0.00809248554913311,2019-08-06
2019-08-07,187.05,190.78,0.01994119219460022,2019-08-07
2019-08-08,190.48,192.61,0.011182276354473109,2019-08-08
2020-02-26,203.3,203.41,0.0005410723069354528,2020-02-26
2020-02-28,190.81,191.01,0.0010481630941774345,2020-02-28
2020-03-02,191.3,198.15,0.03580763199163606,2020-03-02
2020-03-03,198.02,195.39,-0.013281486718513369,2020-03-03
2020-03-04,198.4,205.53,0.035937499999999956,2020-03-04
2020-03-10,176.48,176.21,-0.0015299184043516822,2020-03-10
2020-03-12,163.4,158.02,-0.03292533659730723,2020-03-12
2020-03-13,173.38,176.5,0.0179951551505364,2020-03-13
2020-03-17,156.76,163.88,0.04541974993620834,2020-03-17
2020-03-23,149.78,150.0,0.0014688209373747707,2020-03-23
2020-03-24,159.29,164.81,0.034653776131583935,2020-03-24
2020-10-29,215.69,219.84,0.0192405767536743,2020-10-29
2020-10-30,219.13,220.34,0.005521836352849974,2020-10-30
2020-11-02,225.12,228.58,0.015369580668088245,2020-11-02
2021-01-28,246.97,249.54,0.01040612220107695,2021-01-28
2021-09-21,305.51,304.96,-0.0018002684036529937,2021-09-21
2021-10-01,295.54,297.85,0.007816200852676536,2021-10-01
2021-12-01,321.7,318.29,-0.010599937830276573,2021-12-01
2022-01-19,325.36,322.19,-0.009743053848045302,2022-01-19
2022-01-24,313.8,316.16,0.007520713830465375,2022-01-24
2022-01-27,310.73,311.35,0.001995301387056392,2022-01-27
2022-02-07,296.71,296.47,-0.0008088706144044888,2022-02-07
2022-02-08,296.52,298.71,0.007385673816268756,2022-02-08
2022-02-25,287.68,297.49,0.034100389321468416,2022-02-25
2022-03-08,273.5,271.44,-0.007531992687385802,2022-03-08
2022-03-09,284.32,292.77,0.029720033764772058,2022-03-09
2022-06-15,299.6,299.99,0.0013017356475300002,2022-06-15
2022-06-17,285.04,290.68,0.019786696603985465,2022-06-17
2022-06-21,293.39,298.78,0.018371450969699055,2022-06-21
2022-07-06,269.61,274.29,0.017358406587292707,2022-07-06
2022-07-08,274.76,273.68,-0.003930703159120585,2022-07-08
2022-07-11,270.94,276.77,0.02151767919096481,2022-07-11
2022-07-15,275.26,276.98,0.0062486376516748265,2022-07-15
2022-09-06,276.36,276.94,0.0020987118251556414,2022-09-06
2022-09-07,277.61,285.83,0.029609884370159545,2022-09-07
2022-09-27,268.03,265.2,-0.010558519568704905,2022-09-27
2022-09-28,266.44,271.45,0.01880348296051637,2022-09-28
2023-01-06,307.82,316.16,0.027093756091222332,2023-01-06
2023-01-09,322.27,321.92,-0.001086045862165208,2023-01-09
2024-05-03,418.08,423.6,0.013203214695752141,2024-05-03
2024-05-06,426.98,426.62,-0.0008431308257997872,2024-05-06
2024-11-01,456.51,457.31,0.001752426014764108,2024-11-01
2024-11-04,457.98,458.32,0.0007423904974015461,2024-11-04
2024-11-06,463.82,462.63,-0.0025656504678539527,2024-11-06
2024-11-20,443.74,450.14,0.014422860233469947,2024-11-20
2024-12-17,428.24,430.2,0.00457687278161778,2024-12-17
2024-12-19,422.1,419.59,-0.005946458185264292,2024-12-19
2024-12-20,419.23,424.31,0.012117453426520042,2024-12-20
2024-12-23,422.43,422.33,-0.00023672561134391312,2024-12-23
2024-12-24,422.18,425.77,0.008503481927140122,2024-12-24
2025-04-08,430.76,413.33,-0.04046336707215159,2025-04-08
2025-04-09,414.16,445.97,0.0768060652887772,2025-04-09
