exit_date,entry_price,exit_price,return_pct,entry_date
2012-06-04,0.66,1.0,0.5151515151515151,2012-06-04
2012-06-26,0.9,0.9,0.0,2012-06-26
2012-07-16,0.9,0.9,0.0,2012-07-16
2012-07-17,1.01,1.01,0.0,2012-07-17
2012-09-11,0.99996,0.99996,0.0,2012-09-11
2012-11-09,0.51,0.51,0.0,2012-11-09
2012-11-12,1.0,1.0,0.0,2012-11-12
2012-12-19,1.0,1.0,0.0,2012-12-19
2013-02-05,0.74997,0.74997,0.0,2013-02-05
2013-03-21,0.3,0.4,0.3333333333333335,2013-03-21
2013-03-26,0.38,0.39,0.026315789473684292,2013-03-26
2013-03-27,0.4,0.4,0.0,2013-03-27
2013-04-02,0.4,0.39,-0.025000000000000022,2013-04-02
2013-04-03,0.33,0.39,0.18181818181818188,2013-04-03
2013-04-04,0.33,0.4,0.21212121212121215,2013-04-04
2013-10-09,4.5,4.64,0.03111111111111109,2013-10-09
2015-01-06,8.07,7.81,-0.03221809169764567,2015-01-06
2015-01-07,8.0,8.43,0.053749999999999964,2015-01-07
2015-01-14,7.55,7.32,-0.030463576158940353,2015-01-14
2015-01-15,7.4,7.65,0.03378378378378377,2015-01-15
2015-01-23,6.85,6.68,-0.02481751824817513,2015-01-23
2015-01-26,6.6,7.13,0.08030303030303032,2015-01-26
2015-01-27,7.19,7.64,0.06258692628650886,2015-01-27
2015-03-31,5.52,5.81,0.05253623188405787,2015-03-31
2015-06-15,2.95,3.27,0.10847457627118628,2015-06-15
2015-06-17,3.16,3.2,0.012658227848101333,2015-06-17
2015-08-07,2.39,2.57,0.07531380753138062,2015-08-07
2015-08-10,2.6,2.87,0.10384615384615392,2015-08-10
2015-08-25,1.99,2.06,0.035175879396984966,2015-08-25
2015-08-26,2.09,2.05,-0.019138755980861233,2015-08-26
2017-03-22,0.8392,0.7501,-0.10617254528122022,2017-03-22
2017-03-23,0.7876,0.73,-0.07313357034027423,2017-03-23
2017-03-24,0.75,0.848,0.1306666666666667,2017-03-24
2017-03-27,0.89,1.06,0.1910112359550562,2017-03-27
2017-05-15,0.398,0.3752,-0.05728643216080409,2017-05-15
2017-05-23,0.2099,0.24,0.14340161981896138,2017-05-23
2017-05-24,0.252,0.2811,0.11547619047619051,2017-05-24
2017-10-30,1.38,1.6,0.15942028985507273,2017-10-30
2018-03-12,1.6,2.43,0.51875,2018-03-12
2018-06-27,0.97,0.9817,0.012061855670103094,2018-06-27
2018-07-02,0.91,0.94,0.03296703296703285,2018-07-02
2018-07-05,0.95,0.9288,-0.022315789473684178,2018-07-05
2018-07-09,0.86,0.9101,0.05825581395348833,2018-07-09
2018-07-12,0.8451,0.8412,-0.004614838480653249,2018-07-12
2018-07-13,0.8341,0.8903,0.0673780122287495,2018-07-13
2018-10-04,0.67,0.7,0.04477611940298498,2018-10-04
2018-10-12,0.6,0.6085,0.014166666666666883,2018-10-12
2018-12-17,0.4609,0.46,-0.0019527012367106522,2018-12-17
2019-10-24,1.28,1.26,-0.015625,2019-10-24
2019-10-25,1.27,1.54,0.21259842519685046,2019-10-25
2020-03-10,0.73,0.74,0.013698630136986356,2020-03-10
2020-03-13,0.616,0.59504,-0.03402597402597396,2020-03-13
2020-03-19,0.401,0.48,0.19700748129675794,2020-03-19
2020-03-20,0.4646,0.5163,0.1112785191562633,2020-03-20
2021-05-14,21.23,23.08,0.08714083843617515,2021-05-14
2021-07-21,24.19,25.06,0.03596527490698631,2021-07-21
2022-05-12,9.49,10.15,0.06954689146469972,2022-05-12
2022-05-13,11.17,11.39,0.01969561324977631,2022-05-13
2022-05-17,10.78,11.09,0.0287569573283859,2022-05-17
2022-06-14,6.54,6.94,0.061162079510703515,2022-06-14
2022-06-17,6.46,6.61,0.023219814241486114,2022-06-17
2022-07-01,5.41,5.54,0.02402957486136792,2022-07-01
2022-07-05,5.4,6.07,0.124074074074074,2022-07-05
2022-07-06,5.94,5.65,-0.04882154882154888,2022-07-06
2022-11-22,6.4699,6.42,-0.007712638526097826,2022-11-22
2022-11-23,6.46,6.48,0.003095975232198178,2022-11-23
2022-11-29,5.9,5.89,-0.0016949152542373724,2022-11-29
2022-12-14,4.74,4.72,-0.0042194092827004814,2022-12-14
2022-12-19,3.88,3.87,-0.002577319587628857,2022-12-19
2022-12-20,3.87,3.91,0.010335917312661591,2022-12-20
2022-12-22,3.55,3.67,0.033802816901408406,2022-12-22
2022-12-28,3.2,3.145,-0.017187500000000022,2022-12-28
2022-12-29,3.18,3.41,0.07232704402515733,2022-12-29
2022-12-30,3.29,3.42,0.03951367781155013,2022-12-30
2023-08-22,11.21,10.95,-0.023193577163247214,2023-08-22
2024-08-06,17.38,17.25,-0.007479861910241636,2024-08-06
2025-02-26,12.255,12.45,0.01591187270501826,2025-02-26
2025-02-27,14.21,13.13,-0.07600281491907113,2025-02-27
