exit_date,entry_price,exit_price,return_pct,entry_date
2018-03-23,32.92,32.06,-0.026123936816524918,2018-03-23
2018-03-26,32.85,34.59,0.05296803652968052,2018-03-26
2018-10-11,55.55,56.08,0.00954095409540967,2018-10-11
2018-10-12,59.44,60.41,0.016318977119784694,2018-10-12
2018-11-13,41.6,42.44,0.02019230769230762,2018-11-13
2018-11-14,43.04,43.2,0.003717472118959231,2018-11-14
2018-12-24,26.62,27.17,0.02066115702479343,2018-12-24
2018-12-26,28.9,30.35,0.05017301038062283,2018-12-26
2019-09-25,104.92,106.3,0.013152878383530187,2019-09-25
2020-03-10,101.06,97.3,-0.03720562042351083,2020-03-10
2020-03-13,82.71,80.95,-0.021279168177971153,2020-03-13
2020-03-17,60.3,69.46,0.15190713101160846,2020-03-17
2020-03-18,64.785,67.5,0.041907849039129585,2020-03-18
2020-03-19,69.47,74.12,0.06693536778465536,2020-03-19
2020-03-20,76.52,76.13,-0.005096706743335067,2020-03-20
2021-05-07,321.99,317.0,-0.015497375694897397,2021-05-07
2021-11-08,279.67,277.17,-0.008939106804448094,2021-11-08
2021-11-23,231.81,226.06,-0.024804797032052073,2021-11-23
2021-11-24,225.68,231.45,0.02556717476072312,2021-11-24
2021-11-26,236.6,235.16,-0.006086221470836817,2021-11-26
2021-12-02,206.73,210.26,0.01707541237362742,2021-12-02
2021-12-06,201.39,210.16,0.04354734594567766,2021-12-06
2021-12-07,213.28,216.6,0.01556639159789941,2021-12-07
2022-01-24,148.45,157.32,0.05975075783091954,2022-01-24
2022-02-22,113.11,121.97,0.07833082839713557,2022-02-22
2022-02-23,122.0,118.35,-0.029918032786885318,2022-02-23
2022-02-24,112.66,135.1,0.19918338363216748,2022-02-24
2022-02-25,134.74,139.61,0.03614368413240321,2022-02-25
2022-04-28,86.1,91.63,0.06422764227642275,2022-04-28
2022-04-29,96.84,92.9,-0.0406856670797191,2022-04-29
2022-08-01,64.82,71.69,0.1059858068497379,2022-08-01
2022-08-02,70.205,75.71,0.07841321843173565,2022-08-02
2024-02-22,65.06,63.29,-0.027205656317245697,2024-02-22
2024-02-23,63.19,64.48,0.020414622566861995,2024-02-23
2024-03-01,63.41,63.35,-0.0009462229932186705,2024-03-01
2024-08-06,52.23,53.03,0.015316867700555292,2024-08-06
2024-11-01,63.35,65.7,0.03709550118389893,2024-11-01
2024-11-04,64.62,67.18,0.039616217889198335,2024-11-04
2024-11-05,67.23,69.67,0.03629332143388364,2024-11-05
2025-04-07,53.23,57.13,0.07326695472477929,2025-04-07
2025-04-08,61.5,55.1,-0.10406504065040645,2025-04-08
2025-04-09,54.69,63.86,0.16767233497897238,2025-04-09
