exit_date,entry_price,exit_price,return_pct,entry_date
2007-02-13,34.92,35.02,0.00286368843069873,2007-02-13
2007-10-29,36.26,36.39,0.0035852178709321336,2007-10-29
2007-11-12,33.39,33.65,0.0077867625037435495,2007-11-12
2008-01-23,28.35,30.52,0.07654320987654306,2008-01-23
2008-01-24,30.67,30.73,0.0019563090968373054,2008-01-24
2008-07-15,34.89,34.68,-0.006018916595012969,2008-07-15
2008-07-16,34.67,35.28,0.01759446207095472,2008-07-16
2008-10-10,26.4,25.76,-0.024242424242424176,2008-10-10
2008-10-13,28.37,30.39,0.0712019739161085,2008-10-13
2009-03-10,22.4,22.85,0.02008928571428581,2009-03-10
2009-03-11,23.05,23.38,0.01431670281995645,2009-03-11
2009-03-12,23.24,24.4,0.04991394148020656,2009-03-12
2010-05-07,33.0,32.86,-0.00424242424242427,2010-05-07
2010-05-10,33.81,33.98,0.005028098195799968,2010-05-10
2011-06-09,36.8,36.91,0.002989130434782661,2011-06-09
2011-06-13,36.7,36.49,-0.0057220708446866775,2011-06-13
2011-06-14,36.84,36.84,0.0,2011-06-14
2011-06-16,36.49,36.44,-0.0013702384214854257,2011-06-16
2011-06-17,36.7,36.74,0.0010899182561308063,2011-06-17
2011-08-03,30.97,30.86,-0.00355182434614143,2011-08-03
2011-08-05,30.63,30.37,-0.00848841005550105,2011-08-05
2011-08-09,29.03,29.4,0.01274543575611431,2011-08-09
2011-08-10,29.42,28.7,-0.024473147518694893,2011-08-10
2011-08-11,28.91,30.73,0.06295399515738498,2011-08-11
2011-08-12,30.94,30.79,-0.004848093083387295,2011-08-12
2012-04-30,34.2,34.2,0.0,2012-04-30
2012-05-15,32.67,32.66,-0.00030609121518232474,2012-05-15
2012-05-16,32.91,32.69,-0.0066848982072318375,2012-05-16
2012-05-18,32.46,32.3,-0.0049291435613063594,2012-05-18
2012-05-21,32.34,32.65,0.009585652442795078,2012-05-21
2012-07-12,31.42,31.89,0.014958625079567023,2012-07-12
2012-09-27,31.9,32.02,0.0037617554858935254,2012-09-27
2012-09-28,31.93,32.08,0.00469777638584401,2012-09-28
2012-10-02,31.65,31.67,0.0006319115323856206,2012-10-02
2012-10-03,31.66,31.68,0.0006317119393557391,2012-10-03
2012-10-04,31.72,32.01,0.00914249684741475,2012-10-04
2012-10-05,32.23,32.05,-0.0055848588271796284,2012-10-05
2013-09-09,40.04,40.34,0.007492507492507627,2013-09-09
2014-01-29,41.15,41.07,-0.001944106925880873,2014-01-29
2014-01-30,41.37,41.79,0.010152284263959421,2014-01-30
2015-04-30,49.77,49.53,-0.004822182037371947,2015-04-30
2015-05-01,49.57,50.09,0.010490215856364893,2015-05-01
2015-05-07,48.5,48.86,0.007422680412371152,2015-05-07
2015-05-08,49.16,49.33,0.00345809601301883,2015-05-08
2015-06-08,48.37,48.46,0.0018606574322928005,2015-06-08
2015-06-16,47.79,47.8,0.00020924879681927244,2015-06-16
2015-06-17,47.93,47.88,-0.0010431879824743806,2015-06-17
