Date_,Close,High,Low,Open,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLs_20_3.0,KCBs_20_3.0,KCUs_20_3.0
2007-01-03,2.9714176654815674,3.0137852674883803,2.969637479897851,3.004172333243448,1174000,,,,,,,,,,
2007-01-04,2.9283385276794434,2.936170937155349,2.9080448185600827,2.935103097385897,1204000,,,,,-51867.281913757324,,,,,
2007-01-05,2.9710614681243896,2.9728416534900295,2.9532599540036344,2.9578881643257846,1194000,,,,,16718.3666229248,,,,,
2007-01-08,2.9621613025665283,2.970350225260138,2.7652774361198142,2.9518367001423105,582000,,,,,2119.5246378580723,,,,,
2007-01-09,3.0191264152526855,3.0454726946621284,3.017346568656071,3.039776302759915,876000,,,,,33974.13402133518,,,,,
2007-01-10,2.9785385131835938,2.986727095529818,2.9571766249589926,2.9682135722470617,786000,,,,,-9943.34934375904,,,,,
2007-01-11,2.9682133197784424,2.9735538762642624,2.9447154144979,2.955040354556219,1010000,,,,,-10266.746674054933,,,,,
2007-01-12,2.968926191329956,2.9874397184335613,2.9422240801901545,2.9432922597057605,1312000,,,,,-2798.7239076276865,,,,,
2007-01-16,2.975334405899048,2.985303174197075,2.9550406963484765,2.973554220197871,1338000,,,,,4783.219426420654,,,,,
2007-01-17,2.9596691131591797,2.9781826382947587,2.9514805299934466,2.9514805299934466,3060000,,,,,-30362.790713857503,,,,,
2007-01-18,2.984947443008423,2.9870838019802934,2.9443603574361825,2.9443603574361825,630000,,,,,495.96829872962735,2.9716122150421143,,,,
2007-01-19,2.9902875423431396,2.9991881312656865,2.9717740185928228,2.9717740185928228,668000,,,,,2543.447003303756,2.974724769592285,,,,
2007-01-22,3.041555881500244,3.070750181262862,3.030874766838829,3.070750181262862,1158000,,,,,40426.97349705259,2.985863288243612,,,,
2007-01-23,3.056508779525757,3.0689697393885207,3.0429796403788445,3.0476081909196946,684000,,,,,20294.179331984655,2.997637536790636,,,,
2007-01-24,3.0198380947113037,3.022686120265821,3.0038167625921517,3.0091569802747276,604000,,,,58.00626659045277,-8001.335974624905,3.0013376297774137,,,,
2007-01-25,2.968926191329956,2.9892199044476504,2.958957421279671,2.9842355194225076,1040000,,,,46.63269509986616,-37966.03166927601,2.9959357233695045,,,,
2007-01-26,2.9621613025665283,2.972130071547554,2.9368832071350437,2.972130071547554,736000,,,,45.36000960378667,-15974.649309680546,2.9903066532356752,,,,
2007-01-29,2.950056314468384,2.954328692247353,2.921929855718142,2.924778220749357,1444000,,,,43.09363300123139,-16977.95164570732,2.983598263441127,,,,
2007-01-30,2.9336793422698975,2.9386637273275475,2.905909051433375,2.9272709442059948,1008000,,,,40.16942360312186,-16664.642532618585,2.975278443245922,,,,
2007-01-31,3.0557966232299805,3.077870516495507,3.02268578333169,3.0280263399546743,2022000,,,,61.272413463380495,159059.2138899857,2.988698139909932,,,2.9833272218704225,
2007-02-01,3.1277146339416504,3.1312750053428746,3.0978083290570595,3.117033859273683,1998000,,,,68.35205864584162,148814.5282312729,3.011867555581885,,2.807271112508991,2.9911420702934266,3.175013028077862
