Date,Open,High,Low,Close,Adj Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLe_20_3.0,KCBe_20_3.0,KCUe_20_3.0
2016-10-18,22.5,22.5,22.5,22.5,21.6339087442161,1000.0,,,,,,,,,,
2016-10-19,22.5,22.5,22.5,22.5,21.6339087442161,0.0,,,,,0.0,,,,,
2016-10-20,22.5,24.25,20.13,21.0,20.1916481612683,6639.0,,,,,-6639.0,,,,,
2016-10-21,21.2,21.2,20.89,21.0,20.1916481612683,10963.0,,,,,-2213.0000000000005,,,,,
2016-10-24,21.0,21.0,20.98,21.0,20.1916481612683,5930.0,,,,,-737.6666666666669,,,,,
2016-10-25,22.16,22.5,20.64,21.25,20.432024925093,165157.0,,,,,27280.277777777774,,,,,
2016-10-26,21.0,21.0,20.0,21.0,20.1916481612683,117516.0,,,,,-10492.574074074077,,,,,
2016-10-27,21.0,21.75,20.71,21.2,20.383949572328,71878.0,,,,,6086.208641975274,,,,,
2016-10-28,22.0,22.0,20.76,21.4,20.5762509833877,616841.0,,,,,84274.20288065812,,,,,
2016-10-31,21.29,22.1,20.81,21.44,20.6147112655997,1937231.0,,,,,79750.8942935562,,,,,
2016-11-01,22.1,23.55,21.78,23.0,22.1146622718653,32216510.0,,,,,33531754.031431157,21.57181818181818,,,,
2016-11-02,22.67,23.265,22.6358,22.91,22.0281266368885,10755328.0,,,,,10531931.663810384,21.794848484848487,,,,
2016-11-03,22.96,24.3493,22.94,24.15,23.2203953854586,8083097.0,,,,,10192670.74127012,22.18737373737374,,,,
2016-11-04,23.82,25.5,23.56,25.2,24.229977793522,6878500.0,,,,,8212506.91375671,22.68947811447812,,,,
2016-11-07,25.54,26.41,24.89,25.08,24.1145969468862,8377025.0,,,,79.2118044173597,2067340.3045855644,23.08789842873177,,,,
2016-11-08,24.3,26.59,24.3,26.4,25.4703218948571,6469979.0,,,,84.15729785525934,6382694.954861855,23.63991535727647,,,,
2016-11-09,26.83,29.14,26.0,28.72,27.7086229098596,10675856.0,,,,89.07617758739902,18639555.598287284,24.486596131063727,,,,
2016-11-10,29.08,29.7,28.3,29.1,28.0752411795583,8189887.0,,,,89.64337655049992,8287956.572762443,25.25549677588644,,,,
2016-11-11,29.18,29.99,27.63,29.3,28.2681981636103,5337239.0,,,,89.93945936402666,3474284.0575874783,25.929580646572035,,,,
2016-11-14,29.5,29.94,28.61,29.62,28.5769293380934,5156737.0,,,,90.41178077577148,2258198.5791958272,26.544650538810032,,19.264000000000003,23.8885,28.513
2016-11-15,28.94,30.23,28.83,30.21,29.1461524410466,3668883.0,,,,91.22936769641322,2195826.839731942,27.15554211567503,,19.90647619047619,24.49054761904762,29.07461904761905
2016-11-16,29.69,31.69,29.66,31.42,30.3135421945609,6150098.0,,,,92.61934828167448,5693021.333243984,27.866285096395856,24.518181818181816,20.4230022675737,25.15049546485261,29.87798866213152
2016-11-17,31.3,32.02,30.77,31.85,30.7283997102726,4693203.0,,,,93.04140164796615,3243058.6377479937,28.53023758032988,25.15573122529644,21.154144908757157,25.78854351581903,30.422942122880904
2016-11-18,31.73,31.77,30.16,30.42,29.3487572743012,4421730.0,,,,77.22575103624504,-3134363.0540840006,28.84519798360824,25.613493727444578,21.55375015554219,26.22963460955055,30.905519063558916
2016-11-21,30.89,30.98,29.501,30.69,29.6092492027713,2986107.0,,,,77.98662015107018,-507288.4246946679,29.1526649863402,26.05492905549288,22.001297759776268,26.65443131340288,31.30756486702949
2016-11-22,31.1,31.91,30.54,31.34,30.2363594009402,4182721.0,3.7497841931236806,,,79.74135150641536,1643416.2917684398,29.517220821950165,26.51450044197176,22.499269401702332,27.100675950221653,31.70208249874097
2016-11-23,31.0,31.93,30.0,31.51,30.4003728373843,4112265.0,3.65017680684868,,,80.1861998074596,1013862.1305894848,29.849350684958477,26.948891707887263,22.806005649159257,27.52061157401007,32.23521749886088
2016-11-25,31.24,32.19,31.11,31.7,30.5836819722337,3109628.0,3.545696070515291,,,80.69638686291057,731840.2568631568,30.157792237465397,27.36203155937533,23.34448130162028,27.91864856696149,32.492815832302696
2016-11-28,31.48,31.8,30.7,30.86,29.7732626392155,5121935.0,3.356422603923427,,,71.88380648502309,-2624336.8477122807,30.2748268645545,27.6662027281253,23.745959272894535,28.19877727486992,32.6515952768453
2016-11-29,30.02,30.4999,29.73,29.73,28.683055679322,4927708.0,3.0797391460076007,,,62.06459199522224,-4586985.642570757,30.18402238712875,27.84566336046223,23.993010770714104,28.34460801059659,32.696205250479075
2016-11-30,30.06,30.44,28.85,28.97,27.9498191399246,5131539.0,2.767240834010785,,,56.47685429153929,-4128974.974190258,29.98168532260729,27.9434317639003,24.01272403064609,28.40416915244453,32.79561427424298
2016-12-01,28.84,29.42,28.6,28.88,27.8629884971012,5006186.0,2.483690978924834,,,55.83576550296416,-1676696.1513967523,29.79807110217274,28.024872480082884,24.2419884086798,28.449486376021248,32.656984343362694
2016-12-02,28.86,29.625,28.73,29.04,28.0173540843428,3870676.0,2.2459958961204585,,,56.77514988542609,-146026.61046558392,29.67172591847729,28.113144438336548,24.443227607853157,28.50572576878113,32.568223929709106
2016-12-05,29.03,31.2768,28.89,31.22,30.120585210509,7034136.0,2.2080752939675072,-0.8015715753038553,3.0096468692713625,67.05674199122436,10174268.783178138,29.929771598731072,28.38330579152468,24.406691645200475,28.76422807651626,33.12176450783205
2016-12-06,30.71,31.19,30.21,31.15,30.0530502660908,3248595.0,2.1476181236885026,-0.6896229964662881,2.8372411201547907,66.50967822513319,3239821.8277260456,30.13314299894256,28.62388789660949,24.76034005994328,28.991444450181376,33.22254884041947
2016-12-07,31.3,31.89,30.7653,30.9,29.8118540360259,5778259.0,2.055834094282577,-0.6251256206977711,2.6809597149803484,64.4862433469369,116897.44257534866,30.2609524991188,28.821810688208664,25.023726720901067,29.1732116454022,33.32269656990333
2016-12-08,31.28,31.84,30.8,31.31,30.2074158533324,3064978.0,1.993201773873004,-0.5502063528858754,2.5434081267588797,66.29716376939747,876726.4675251164,30.43579374926567,29.03817497619052,25.32527655700573,29.37671529822104,33.42815403943634
2016-12-09,31.31,32.11,31.04,32.05,30.9213566943246,4344295.0,1.9804476564709432,-0.4503683762303487,2.430816032701292,69.3363616807313,2435427.689175034,30.704828124388055,29.30007280434787,25.66001212300518,29.631313841247604,33.602615559490026
2016-12-12,32.16,32.35,30.85,31.24,30.1398809089142,3416012.0,1.8832705256690865,-0.4380364056257644,2.321306931294851,62.674142516874376,-1032837.2502749856,30.79402343699005,29.468762125708928,25.7628681112904,29.78452204684307,33.806175982395736
2016-12-13,31.4,31.73,30.03,30.24,29.1750959886544,4215143.0,1.7059007448337944,-0.4923249491688453,2.19822569400264,55.57454909107175,-3154374.416758328,30.701686197491707,29.53582628869076,25.703547338786557,29.82790089952468,33.95225446026281
2016-12-14,30.11,31.32,30.03,30.45,29.377700821909,3176106.0,1.5642474892524802,-0.5071825638001277,2.071430053052608,56.68422247732104,-606803.2989194412,30.65973849790976,29.615319654891564,25.78701902080688,29.88714843290328,33.98727784499968
2016-12-15,30.16,30.44,29.65,29.79,28.7409427745376,3753185.0,1.3827898389907425,-0.5509121712494924,1.933702010240235,52.26558411857704,-1853669.1663064808,30.514782081591463,29.630509250118383,25.93968387596813,29.877896201198208,33.81610852642829
2016-12-16,29.65,30.42,29.16,29.4,28.3646766556363,8131428.0,1.193752764409716,-0.5919593966644152,1.785712161074131,49.79544595536741,-2732061.002102164,30.32898506799289,29.6104649674994,25.909237792542594,29.83238227727457,33.75552676200655
2016-12-19,28.89,29.49,28.75,29.29,28.2585503144077,2569496.0,1.023267845414214,-0.6099554525279338,1.6332232979421475,49.090724265881946,-1099116.707367387,30.155820889994075,29.58259844858641,26.01978657420521,29.78072682229604,33.54166707038687
2016-12-20,29.9,30.33,29.77,30.16,29.0979131950337,3826971.0,0.9474375773076034,-0.5486285765076357,1.496066153815239,54.5672855064736,1853270.9442108732,30.1565174083284,29.63280727914412,26.116949757614236,29.816848077315463,33.516746397016696
2016-12-21,30.19,30.43,30.02,30.43,29.3584051235038,1811751.0,0.898767850702054,-0.4778386424905481,1.376606493192602,56.144056715505904,943872.161403624,30.202097840273662,29.7021283853055,26.4105735902224,29.875243498523517,33.33991340682463
2016-12-22,30.21,30.35,29.54,29.75,28.7023513777272,3766694.0,0.7961489156042347,-0.464366062070694,1.2605149776749287,51.313863106870585,-1392943.8928654578,30.126748200228054,29.70629113440937,26.47432848639169,29.86331554628318,33.252302606174666
2016-12-23,29.79,30.13,29.34,29.71,28.6637599809168,2887430.0,0.7034856597229862,-0.4456234543615542,1.1491091140845404,51.0357184355974,-541312.7642884844,30.05729016685671,29.70661364446073,26.556773392449628,29.84871406568478,33.140654738919935
2016-12-27,29.58,30.04,29.4,29.65,28.6058728857012,1708938.0,0.61808298734055,-0.4248209013951924,1.0429038887357425,50.59272221290804,-248795.10809616404,29.989408472380592,29.70169071885545,26.66850925983537,29.829788916571943,32.99106857330851
2016-12-28,29.78,30.17,29.35,29.43,28.3936202032441,2751053.0,0.5265785233675295,-0.4130602922945704,0.9396388156621,48.91610555161464,-486419.4760320526,29.896173726983825,29.678065438954977,26.697222663660572,29.791713781660327,32.88620489966008
2016-12-29,29.43,29.44,28.6,28.89,27.8726363463038,3224941.0,0.4058091738346192,-0.4270637134619846,0.8328728872966038,44.97621300668876,-1323118.5853440156,29.728478105819853,29.609538009480637,26.666058600454807,29.70583627864506,32.74561395683531
2016-12-30,28.97,29.3779,28.01,28.08,27.0911605608934,2685997.0,0.2419493225044533,-0.4727388518337204,0.7146881743381738,39.79810779767598,-1891477.908448009,29.45373175484988,29.476534704308406,26.409891114697206,29.55099472829791,32.692098341898614
2017-01-03,28.6,28.87,28.17,28.83,27.8147492510882,2746634.0,0.1706408996958615,-0.4352378197138498,0.6058787194097113,45.99767498943472,742824.3638506635,29.3497764623749,29.42031429523811,26.41466338948795,29.482328563698108,32.54999373790827
2017-01-04,29.02,30.3,29.02,30.26,29.1943916870596,3339121.0,0.226901925703995,-0.3031814349645729,0.530083360668568,55.42345127419183,3430903.4746168945,29.50148038531242,29.49333044347828,26.360885923822423,29.55639251001257,32.75189909620272
2017-01-05,30.18,30.93,30.115,30.65,29.5706578059609,2444552.0,0.29950641131488,-0.1844615594829504,0.4839679707978304,57.597214842930704,1779218.01153896,29.69290032109368,29.593910404914958,26.53651583583934,29.660545604297088,32.78457537275484
2017-01-06,30.69,31.1,30.31,30.68,29.5996013535687,2086333.0,0.3553702514793677,-0.1028781754547701,0.4582484269341378,57.767819429258445,634799.3305129883,29.857416934244736,29.68835297840061,26.705419089568924,29.757636499125937,32.80985390868295
2017-01-09,30.88,30.88,29.215,29.48,28.441859449257,4199908.0,0.2993619182580431,-0.1271092069408758,0.4264711251989189,49.23462522527898,-3148326.623162335,29.794514111870612,29.670235328104905,26.493950604848077,29.73119492778061,32.968439250713146
2017-01-10,29.83,31.1,29.73,30.98,29.8890368296466,3824409.0,0.3717273333324158,-0.0437950334932025,0.4155223668256183,57.65485553490911,2774966.7922792216,29.992095093225515,29.7841279082697,26.45833626152921,29.85012874418246,33.24192122683571
2017-01-11,31.08,32.0,31.08,31.97,30.8441739007038,3068269.0,0.5031620336518507,0.0701117334609859,0.4330503001908648,62.12054679078548,2950046.4707597373,30.321745911021264,29.97420374233321,26.69182804614548,30.052021244736512,33.41221444332754
2017-01-12,33.0,33.5,32.51,33.04,31.8764937653817,4519604.0,0.6857600235471146,0.2021677786849998,0.4835922448621148,66.2618718908019,4207333.010253247,30.774788259184383,30.24079472126075,26.859272994131626,30.3365906499997,33.81390830586778
2017-01-13,32.82,33.43,32.53,33.01,31.8475502177739,3026692.0,0.8186130353049776,0.2680166323542902,0.5505964029506875,66.0438549714106,1341910.4967510805,31.14732354932032,30.48159518028156,27.187913661357182,30.591201064285443,33.994488467213706
2017-01-17,32.97,33.04,32.52,32.64,31.4905797972778,1382009.0,0.8838555597841555,0.2666073254667744,0.6172482343173811,63.27851866967023,106407.94558369584,31.39610295776693,30.66928255590925,27.55858855075174,30.786324772448737,34.01406099414574
2017-01-18,32.95,34.83,32.64,34.81,33.5841630742414,6417754.0,1.0980044828401034,0.3846049988181779,0.7133994840219255,70.95873933043056,9319820.101861238,31.965085798139118,31.029344942351926,27.62348487925157,31.169531936977428,34.71557899470328
2017-01-19,34.22,35.63,34.18,35.42,34.1726818755999,5050105.0,1.3019330751735048,0.4708268729212633,0.8311062022522414,72.688004980918,5160316.067287078,32.5409048317826,31.411141034321325,27.95172441456095,31.57433841917005,35.19695242377916
2017-01-20,35.4,35.74,34.93,35.66,34.4042302564622,5330764.0,1.466014643808812,0.5079267532452565,0.9580878905635556,73.36012151546022,2573027.5957623413,33.0607540264855,31.780607031336864,28.454417327459904,31.963449045915763,35.472480764371625
2017-01-23,35.92,36.395,35.455,36.29,35.0120447562258,5244644.0,1.6281182700181382,0.536024303563666,1.0920939664544722,75.09284502906866,3060426.3452541227,33.59896168873792,32.1727281590467,28.932091867701818,32.37550151773331,35.8189111677648
2017-01-24,37.18,38.38,37.18,37.5,36.1794345097401,11911148.0,1.8330926977317856,0.5927989850218509,1.240293712709935,78.0463234074175,10628468.168418046,34.249134740614934,32.635969188694816,29.15094026125403,32.863548992234904,36.57615772321578
2017-01-25,38.58,38.94,36.31,36.53,35.2435931370882,13583342.0,1.8954163354250253,0.5240980981720724,1.371318237252953,70.79854279101095,-5241071.770527307,34.62927895051244,32.97458056359092,29.10227928399174,33.21273480249825,37.32319032100475
2017-01-26,36.22,37.0699,35.51,36.3,35.0216926054284,5735365.0,1.9042976317895324,0.4263835156292634,1.477914116160269,69.15855990343167,-2626446.556842451,34.90773245876037,33.26374747110476,29.342090780754432,33.50676005940318,37.67142933805192
2017-01-27,36.3,37.39,36.27,36.67,35.3786630259246,3617786.0,1.9190701844193896,0.3529248546072963,1.566145329812093,70.34848719306252,16905.02771919372,35.201443715633644,33.55994334318261,29.719986896873063,33.80802100612669,37.89605511538031
2017-01-30,36.48,36.59,35.77,36.55,35.2628888354934,3002400.0,1.8992017264009604,0.2664451172710935,1.6327566091298669,69.41309999469009,-234556.99076027787,35.42620309636137,33.81994826986239,30.11332147812325,34.06916186268605,38.02500224724886
2017-01-31,36.78,37.23,36.01,36.45,35.1664103434674,2690080.0,1.854014738193925,0.1770065032512462,1.6770082349426787,68.59457887291644,-257524.3302534157,35.59683591363448,34.048648420309135,30.36824324211151,34.29590835195405,38.22357346179658
2017-02-01,36.58,37.19,36.2,36.26,34.9831012086181,2905397.0,1.7823267589639755,0.0842548192170373,1.6980719397469382,66.97850145677698,-453858.3967511479,35.70736326136206,34.240939862021385,30.646505790481847,34.482964699387,38.31942360829215
