Date,Open,High,Low,Close,Adj Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLe_20_3.0,KCBe_20_3.0,KCUe_20_3.0
2007-01-03,56.9,56.95,56.0,56.41,1.1282,519300.0,,,,,,,,,,
2007-01-04,56.5,56.5,55.13,55.38,1.1076,471200.0,,,,,-485335.9999999972,,,,,
2007-01-05,55.58,55.68,54.61,55.0,1.1,508800.0,,,,,-290674.6666666666,,,,,
2007-01-08,55.01,56.2,54.8,56.05,1.121,286500.0,,,,,103658.4444444439,,,,,
2007-01-09,56.04,57.39,56.04,56.45,1.129,571600.0,,,,,186979.48148148347,,,,,
2007-01-10,55.73,56.65,55.51,56.21,1.1242,869100.0,,,,,-76729.50617283997,,,,,
2007-01-11,56.35,57.75,56.16,57.67,1.1534,447700.0,,,,,410184.8312757202,,,,,
2007-01-12,57.27,58.5,56.63,58.28,1.1656,745200.0,,,,,439776.27709190646,,,,,
2007-01-16,58.29,60.5,58.29,60.46,1.2092,712000.0,,,,,1181365.425697302,,,,,
2007-01-17,60.4,60.94,59.52,60.6,1.212,595000.0,,,,,449321.8085657676,,,,,
2007-01-18,60.6,60.6,59.02,59.58,1.1916,759600.0,,,,,-366754.0638114123,57.46272727272728,,,,
2007-01-19,59.34,59.68,58.8,58.97,1.1794,258500.0,,,,,-227374.68793713732,57.7139393939394,,,,
2007-01-22,59.54,59.54,58.17,58.42,1.1684,410200.0,,,,,-226198.22931237836,57.83161616161617,,,,
2007-01-23,58.95,59.06,58.0112,58.5,1.17,616500.0,,,,,-42519.409770793485,57.94301346801348,,,,
2007-01-24,58.7,58.99,57.96,57.9996,1.159992,421300.0,,,,53.97694438731121,-154718.81659026424,57.952444556677904,,,,
2007-01-25,58.17,58.25,57.15,57.48,1.1496,1139300.0,,,,49.565810669337445,-446226.4588634245,57.87370379723159,,,,
2007-01-26,58.0,58.2,56.6601,57.34,1.1468,518000.0,,,,48.41768474735897,-197088.8196211393,57.78475316435966,,,,
2007-01-29,57.09,59.2,56.87,58.7,1.174,401200.0,,,,58.47929674131532,298058.39345962007,57.937294303633045,,,,
2007-01-30,58.67,59.86,58.34,59.6,1.192,504800.0,,,,63.54676558317258,402232.7978198729,58.2144119196942,,,,
2007-01-31,59.6,60.3,58.74,59.42,1.1884,467000.0,,,,61.9190981009001,78037.59927329107,58.41534326641184,,53.60144842105264,57.92598,62.25051157894737
2007-02-01,59.55,60.4,58.93,59.8,1.196,875700.0,,,,64.01462866691938,247856.5330910944,58.64611938867654,,53.77178666666667,58.1044580952381,62.43712952380953
2007-02-02,60.18,60.18,59.5301,60.01,1.2002,348900.0,,,,65.15576641642697,131464.84436369833,58.87343282389712,58.10589090909091,54.180216507936514,58.285938276644,62.39166004535148
2007-02-05,60.2,60.67,59.75,60.44,1.2088,215900.0,,,,67.43307891555686,105712.94812123274,59.1345273532476,58.30885691699605,54.51352922146637,58.49108701220171,62.46864480293705
2007-02-06,60.51,60.63,59.86,60.58,1.2116,326300.0,,,,68.16265866408892,65692.31604041104,59.37543946103966,58.50634761986596,54.87128834323147,58.690031106277736,62.508773869324
2007-02-07,60.58,61.76,60.4,61.57,1.2314,748500.0,,,,72.80262564540328,515907.438680138,59.741199550866384,58.77275217466023,55.1206894533999,58.964313858060805,62.80793826272171
2007-02-08,61.57,62.26,61.11,62.09,1.2418,304600.0,1.4322235294132284,,,74.87398100586539,277563.81289338,60.13266629238865,59.06120850729847,55.45586188640944,59.26199825253121,63.06813461865298
2007-02-09,62.25,62.4,61.48,61.91,1.2382,751600.0,1.477738471852831,,,72.80691609741417,2329.2709644566057,60.42888857699055,59.30892950666382,55.807684563894256,59.514188895147285,63.22069322640032
2007-02-12,61.65,61.7,60.04,60.72,1.2144,567400.0,1.401629227646218,,,60.84715266523152,-449360.9096785136,60.47740714749212,59.43163128869306,55.74123841495194,59.6290280479904,63.51681768102885
2007-02-13,61.03,61.58,60.3,60.45,1.209,217500.0,1.304488033721995,,,58.49913747463878,-188936.9698928373,60.47283928957677,59.52018508967628,55.82397761352795,59.7072158529437,63.59045409235944
2007-02-14,60.57,61.51,59.6,59.69,1.1938,1087600.0,1.1528875195794086,,,52.3727996210002,-614029.6566309495,60.34236607464731,59.53495160361747,55.6464559360491,59.70557624790144,63.76469655975378
2007-02-15,60.19,61.69,59.39,61.38,1.2276,1248600.0,1.1557886834895754,,,61.92228829206383,1202079.4477896874,60.515305062206096,59.69539059460726,55.53536489452061,59.86504517667273,64.19472545882485
