Date,Open,High,Low,Close,Adj Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLe_20_3.0,KCBe_20_3.0,KCUe_20_3.0
2007-01-03,20.7,20.91,20.48,20.57,108.973431478795,50006600.0,,,,,,,,,,
2007-01-04,20.49,20.65,20.31,20.55,108.86747772918,48542900.0,,,,,-970857.9999999792,,,,,
2007-01-05,18.06,19.25,18.0,18.94,100.338200885191,304436300.0,,,,,-327085247.9999998,,,,,
2007-01-08,19.01,19.02,18.46,18.6,98.5369871417396,105129500.0,,,,,-132857769.33333328,,,,,
2007-01-09,18.56,18.67,18.25,18.26,96.7357733982884,95706800.0,,,,,-65979464.44444442,,,,,
2007-01-10,18.15,18.21,18.05,18.16,96.2060046502146,72136400.0,,,,,-26802248.14814821,,,,,
2007-01-11,18.23,18.54,18.11,18.2,96.4179121494441,59482500.0,,,,,-7347882.716049438,,,,,
2007-01-12,18.26,18.31,17.9,18.01,95.4113515281038,76227900.0,,,,,-12104828.23868303,,,,,
2007-01-16,18.1,18.18,18.01,18.15,96.1530277754072,55132700.0,,,,,1110775.9204388792,,,,,
2007-01-17,18.2,18.69,18.11,18.47,97.8482877692436,90143200.0,,,,,19600807.973479643,,,,,
2007-01-18,18.6,18.8,18.48,18.71,99.1197327646208,85361500.0,,,,,20191442.657826666,18.783636363636365,,,,
2007-01-19,18.7,19.45,18.59,19.27,102.086437753835,129569300.0,,,,,55103019.55260877,18.86469696969697,,,,
2007-01-22,19.38,19.39,18.47,18.72,99.1727096394282,74535300.0,,,,,-8961936.815797105,18.84058080808081,,,,
2007-01-23,18.6,18.73,18.4,18.53,98.1661490180879,53102000.0,,,,,-9713565.60526562,18.788817340067343,,,,
2007-01-24,18.51,18.77,18.45,18.57,98.3780565173174,48948900.0,,,,35.744602859335664,-1932551.2017552357,18.752347783389453,,,,
2007-01-25,18.71,18.91,18.52,18.59,98.4840102669322,65538200.0,,,,36.2357240458849,229658.9327482361,18.725289819491213,,,,
2007-01-26,18.51,18.6,18.21,18.38,97.3714958959771,48655600.0,,,,33.35309242156775,-6735231.022417282,18.66774151624268,,,,
2007-01-29,18.41,18.41,18.12,18.31,97.0006577723254,69115900.0,,,,32.42706618842013,-5470485.674139107,18.608117930202237,,,,
2007-01-30,19.5,19.63,19.22,19.58,103.728720872863,147619500.0,,,,56.19180008217951,123161014.77528691,18.77009827516853,,,,
2007-01-31,19.58,19.89,19.38,19.85,105.159096492663,58489900.0,,,,59.45638087065476,51581853.59176243,18.95008189597377,,17.032052631578946,18.821,20.609947368421057
2007-02-01,19.93,19.98,19.58,19.95,105.688865240737,58648100.0,,,,60.6266749911417,21103824.5305874,19.11673491331148,,17.195666666666664,18.92852380952381,20.66138095238096
2007-02-02,19.9,19.93,19.76,19.85,105.159096492663,37513700.0,,,,58.79888504516869,4533694.843529187,19.2389457610929,18.91909090909091,17.394174603174598,19.016283446712016,20.638392290249435
2007-02-05,19.76,19.9,19.66,19.87,105.265050242278,32519200.0,,,,59.06469743339688,1944820.9478430531,19.34412146757742,19.001778656126486,17.561396069538926,19.0975897851204,20.63378350070187
2007-02-06,19.87,19.93,19.49,19.73,104.523373994974,66903900.0,,,,56.32531539218704,-5596090.350719007,19.40843455631452,19.06510225124592,17.642215491487597,19.157819329394645,20.67342316730169
2007-02-07,19.9,19.91,19.75,19.91,105.476957741507,41458200.0,,,,58.960755383977954,3109620.5497603226,19.492028796928764,19.1385716207028,17.80676639706021,19.22945558373801,20.652144770415816
2007-02-08,19.73,19.93,19.6,19.86,105.21207336747,41067600.0,0.4541373306411849,,,57.91531573879732,-332379.8167465783,19.55335733077397,19.201304523250386,17.90802674019733,19.28950743290582,20.670988125614308
2007-02-09,19.89,19.9,19.46,19.57,103.675743998056,39584300.0,0.4248617649804131,,,52.14067162213336,-7763757.938915503,19.55613110897831,19.23336499948948,17.9405956220833,19.316221010724316,20.691846399365325
2007-02-12,19.51,19.61,19.04,19.14,101.397738381338,46090100.0,0.362781344420199,,,44.9792513721435,-15800414.646305157,19.486775924148592,19.225246303881697,17.891967467599176,19.299438057322,20.706908647044816
2007-02-13,19.11,19.37,19.1,19.34,102.457275877486,33471200.0,0.3259629939024258,,,48.520856020959535,-803978.215435069,19.462313270123826,19.235224886152853,17.952732470684968,19.303301099481807,20.653869728278647
2007-02-14,19.4,19.43,19.18,19.21,101.76857650499,42017500.0,0.2830316595206668,,,46.42886557756079,-3909509.405144995,19.420261058436523,19.233031417791736,18.00104366395307,19.29441528048354,20.587786897014013
2007-02-15,19.25,19.38,19.05,19.24,101.927507129412,68152000.0,0.2485637290560873,,,46.99679705799281,59870.19828489167,19.390217548697105,19.23363738146202,18.024753791195632,19.28923287281844,20.55371195444125
2007-02-16,19.22,19.45,19.13,19.26,102.033460879027,40975200.0,0.2203217467370457,,,47.39717266588184,566292.7327617159,19.36851462391425,19.23592978307402,18.050967715843665,19.286448789692876,20.52192986354208
2007-02-20,19.15,19.17,18.99,19.17,101.556669005761,29397200.0,0.188504561196634,,,45.72338237819543,-1575067.755746092,19.33542885326188,19.230196758458888,18.080399361953795,19.275358428769746,20.470317495585697
2007-02-21,18.95,19.01,18.75,18.9,100.126293385961,36267700.0,0.1398899051613078,-0.1543384321293548,0.2942283372906627,41.04094577503693,-7053208.585248773,19.262857377718237,19.201483996853767,18.03845656557724,19.23961000698215,20.44076344838706
2007-02-22,18.92,19.1,18.89,18.96,100.444154634806,29229900.0,0.1049936372685422,-0.1513877600176963,0.2563813972862386,42.45134133310847,-1181873.5284162136,19.21238114809853,19.180485388431705,18.06622260695084,19.21298048250766,20.359738358064483
2007-02-23,18.95,19.19,18.87,19.15,101.450715256146,33479600.0,0.0916134429107522,-0.1318143635003891,0.2234278064111413,46.79198850525975,3846791.490527877,19.20198429008211,19.177834485089814,18.078010930098376,19.20698234131645,20.33595375253453
2007-02-26,19.26,19.31,19.09,19.25,101.98048400422,32977000.0,0.0880635647909926,-0.108291393296119,0.1963549580871116,48.97344526417587,3480730.496842657,19.20998690840176,19.184109747255924,18.12677179389853,19.21107926119108,20.295386728483624
2007-02-27,18.96,19.02,18.25,18.6,98.5369871417396,59677800.0,0.0324268960100901,-0.1311424496616171,0.1635693456717073,38.052683969752366,-24700136.50105239,19.10832242366813,19.133317595320623,17.886126861146295,19.15288123631574,20.419635611485184
2007-02-28,18.61,18.72,18.38,18.52,98.1131721432805,36911700.0,-0.0179143903112475,-0.1451869887863639,0.1272725984751164,36.96026643179986,-10202002.833684176,19.01026868639011,19.079985630510137,17.849352874370457,19.092606832857097,20.335860791343737
2007-03-01,18.59,19.17,18.35,18.83,99.7554552623095,75161100.0,-0.0324220717275522,-0.1277557361621349,0.0953336644345826,43.70451162137268,12132626.388771877,18.98022390532509,19.05824774959621,17.708462124430408,19.06759665829928,20.426731192168145
2007-03-02,18.76,19.07,18.56,18.64,98.7488946409691,42540400.0,-0.0585757016494135,-0.1231274928671969,0.0645517912177834,40.82188354803216,-1344241.870409309,18.92351992110424,19.021878380066106,17.651465731627514,19.02687316703268,20.402280602437845
2007-03-05,18.43,18.69,18.28,18.5,98.0072183936657,37352700.0,-0.0895669991477454,-0.1232950322924231,0.0337280331446776,38.791589090138864,-3934332.623469784,18.852933267586867,18.976497651364703,17.615135661948703,18.976694770172426,20.33825387839615
