Date,Open,High,Low,Close,Adj Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLe_20_3.0,KCBe_20_3.0,KCUe_20_3.0
2015-07-20,41.46,42.55,39.8,40.47,40.47,52286509.0,,,,,,,,,,
2015-07-21,41.08,41.11,39.12,39.35,39.35,32954573.0,,,,,-36909121.75999992,,,,,
2015-07-22,39.35,39.7178,38.1,38.39,38.39,25380859.0,,,,,-28546790.346666656,,,,,
2015-07-23,38.74,38.75,36.93,37.01,37.01,19250154.0,,,,,-27225738.46222225,,,,,
2015-07-24,37.71,38.0,36.91,37.0,37.0,14274305.0,,,,,-9170408.1874074,,,,,
2015-07-27,36.78,37.38,36.22,36.39,36.39,16179913.0,,,,,-9636634.01580246,,,,,
2015-07-28,37.19,38.0,36.8296,37.6,37.6,18986016.0,,,,,12103174.901399191,,,,,
2015-07-29,38.03,38.1,37.62,37.95,37.95,11788439.0,,,,,6785027.400466409,,,,,
2015-07-30,38.04,39.01,37.715,38.45,38.45,13845091.0,,,,,6876706.133488802,,,,,
2015-07-31,39.14,39.2,38.2199,38.7,38.7,12480580.0,,,,,4372332.044496268,,,,,
2015-08-03,39.25,39.88,38.9,39.39,39.39,15126574.0,,,,,8415668.054832065,38.24545454545454,,,,
2015-08-04,39.91,39.91,38.43,38.95,38.95,10992217.0,,,,,-419160.9683892946,38.36287878787879,,,,
2015-08-05,39.7,39.88,39.17,39.27,39.27,9349565.0,,,,,1854853.5438702367,38.514065656565656,,,,
2015-08-06,39.63,39.74,38.55,38.85,38.85,7324116.0,,,,,-1432467.965376596,38.57005471380472,,,,
2015-08-07,39.04,39.23,38.6,39.13,39.13,8331310.0,,,,49.45684007573188,1077688.5448744744,38.6633789281706,,,,
2015-08-10,39.43,39.69,38.7701,39.05,39.05,7998929.0,,,,48.60773441197565,-67380.0317085372,38.72781577347551,,,,
2015-08-11,38.93,39.28,38.72,38.85,38.85,8184004.0,,,,46.46019523388912,-1113660.5439028223,38.74817981122959,,,,
2015-08-12,38.55,38.58,37.01,38.19,38.19,21366670.0,,,,40.15530828221016,-9772554.981300993,38.65514984269133,,,,
2015-08-13,38.4,38.49,37.44,37.62,37.62,7863525.0,,,,35.65509152381462,-6245657.827100333,38.48262486890944,,,,
