Date,Open,High,Low,Close,Adj Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLe_20_3.0,KCBe_20_3.0,KCUe_20_3.0
2007-03-29,8.85,9.31,8.66,8.76,0.876,6079800.0,,,,,,,,,,
2007-03-30,8.83,9.0,8.55,8.99,0.899,419500.0,,,,,96485.00000000016,,,,,
2007-04-02,9.0,10.59,8.99,10.38,1.038,749100.0,,,,,726327.666666667,,,,,
2007-04-03,10.7,11.66,10.4,10.58,1.058,835700.0,,,,,353535.88888888864,,,,,
2007-04-04,10.4,10.99,10.03,10.16,1.016,309500.0,,,,,31185.296296296263,,,,,
2007-04-05,10.02,10.25,9.52,9.8,0.98,424900.0,,,,,-91580.90123456776,,,,,
2007-04-09,9.95,10.36,9.88,10.0,1.0,174300.0,,,,,-7286.967078189336,,,,,
2007-04-10,9.96,10.12,9.66,9.8,0.98,106800.0,,,,,-16668.98902606306,,,,,
2007-04-11,9.71,9.86,9.5,9.54,0.954,107000.0,,,,,-24102.99634202113,,,,,
2007-04-12,9.5,9.97,9.5,9.85,0.985,88800.0,,,,,10317.667885992983,,,,,
2007-04-13,9.98,9.98,9.66,9.74,0.974,60200.0,,,,,-975.4440380023144,9.78181818181818,,,,
2007-04-16,9.7,10.25,9.6,10.15,1.015,135400.0,,,,,36684.18532066591,9.843181818181815,,,,
2007-04-17,10.25,10.4,10.06,10.25,1.025,89100.0,,,,,18168.061773555284,9.910984848484848,,,,
2007-04-18,10.43,10.5,10.04,10.37,1.037,100800.0,,,,,14120.020591185044,9.987487373737371,,,,
2007-04-19,10.19,10.29,9.82,9.89,0.989,71900.0,,,,56.45701098957505,-18301.32646960492,9.971239478114478,,,,
2007-04-20,10.07,10.07,9.79,9.86,0.986,139700.0,,,,55.81985911518656,-8894.44215653508,9.9526995650954,,,,
2007-04-23,9.77,10.0699,9.77,9.85,0.985,77400.0,,,,55.594631639571936,-3480.8140521783494,9.935582970912831,,,,
2007-04-24,9.9,10.0,9.73,9.83,0.983,70800.0,,,,55.1156463048177,-2104.2713507260964,9.917985809094027,,,,
2007-04-25,9.8,10.49,9.8,10.35,1.035,160000.0,,,,63.83907025418742,54765.24288309125,9.989988174245024,,,,
2007-04-26,10.47,10.47,10.12,10.19,1.019,73400.0,,,,59.97651627390968,10425.747627697076,10.02332347853752,,8.167542105263157,9.917,11.666457894736842
2007-04-27,10.11,10.4,9.991,10.2,1.02,112200.0,,,,60.13884768298921,4223.249209232344,10.052769565447932,,8.244252380952378,9.94395238095238,11.643652380952382
2007-04-30,10.2,11.06,10.2,10.41,1.041,271900.0,,,,63.4879461186092,39473.74973641094,10.112307971206612,9.952272727272726,8.204799773242629,9.988337868480723,11.771875963718822
2007-05-01,10.5,10.9,10.1,10.49,1.049,124000.0,,,,64.70455802755312,19771.249912136984,10.175256642672176,9.999031620553358,8.193866461505236,10.036115214339704,11.878363967174172
2007-05-02,10.53,10.64,10.4,10.4,1.04,60900.0,,,,62.1938264602628,2936.4166373790013,10.21271386889348,10.033898436157417,8.335402988980928,10.070770908212111,11.8061388274433
2007-05-03,10.412,10.5,10.31,10.43,1.043,84300.0,,,,62.71320487096568,2664.8055457929645,10.2489282240779,10.068342050404596,8.480602704316079,10.104983202668103,11.729363701020128
2007-05-04,10.4,10.6,10.37,10.58,1.058,72200.0,0.2505942890634216,,,65.28145530264801,8108.268515264338,10.30410685339825,10.11283404602159,8.614831018190738,10.150222897652094,11.68561477711345
2007-05-07,10.76,11.05,10.4,10.57,1.057,174100.0,0.2549034736081239,,,64.96022003095977,1542.0895050881377,10.348422377831875,10.152587607237104,8.615323302172571,10.190201669304274,11.765080036435975
2007-05-08,10.5,10.6,10.45,10.5,1.05,146900.0,0.2497906868712611,,,62.63670738299096,-6341.3034983039815,10.373685314859896,10.182797380520832,8.751959178156136,10.219706272227675,11.687453366299218
2007-05-09,10.89,11.35,10.5,11.24,1.124,408200.0,0.3019696637939884,,,73.44862863365884,199264.89883389868,10.51807109571658,10.27472804308424,8.746058304046027,10.316877103444089,11.88769590284215
2007-05-10,10.87,10.87,9.96,10.15,1.015,491000.0,0.2524578119380738,,,50.34086677313246,-290371.70038870035,10.45672591309715,10.263882126294304,8.51405275127974,10.300984045973223,12.087915340666706
2007-05-11,10.22,10.5,10.0,10.4,1.04,271700.0,0.2307324828550854,,,53.92158324648539,-51507.23346290013,10.447271594247624,10.27571846313828,8.55080963211024,10.310414136832916,12.070018641555592
2007-05-14,10.44,10.5,10.2,10.43,1.043,209800.0,0.2134749460196356,,,54.34699171322774,-12973.077820966802,10.444392995206352,10.289134248952344,8.64406585762355,10.321803266658351,11.999540675693156
2007-05-15,10.2,10.43,10.2,10.24,1.024,133600.0,0.1823646257523243,,,51.12754981999197,-21247.025940322223,10.410327496005296,10.284861705565184,8.730345299754642,10.314012479357558,11.897679658960474
2007-05-16,10.2,10.3899,10.0,10.1,1.01,86100.0,0.1447441226853154,-0.0864816664910434,0.2312257891763588,48.83209092462983,-15118.34198010744,10.35860624667108,10.268786774646474,8.749388604539913,10.293630338466365,11.837872072392813
2007-05-17,10.0,10.0812,10.0,10.02,1.002,111000.0,0.1072380975167437,-0.0991901533276921,0.2064282508444358,47.519195149964624,-10959.447326702486,10.3021718722259,10.24715314206852,8.841827785059923,10.267570306231471,11.69331282740302
2007-05-18,10.0,10.1,9.74,10.02,1.002,187100.0,0.0766309484813465,-0.1038378418904714,0.180468790371818,47.519195149964624,-3653.149108900829,10.255143226854916,10.227400694932127,8.85117751981612,10.243992181828474,11.636806843840828
2007-05-21,10.01,10.09,9.92,10.04,1.004,215600.0,0.0533731428441406,-0.1016765180221418,0.1550496608662825,47.925135715323584,1656.9502970329952,10.219286022379098,10.211104982329337,8.915827279833634,10.224564354987669,11.533301430141703
2007-05-22,9.95,10.11,9.95,10.04,1.004,82500.0,0.0345429744065111,-0.0964053491678171,0.1309483235743282,47.925135715323584,552.3167656776651,10.18940501864925,10.196226288213742,8.977177062706621,10.206986797369796,11.43679653203297
2007-05-23,9.96,10.12,9.96,10.0,1.0,76300.0,0.0162054581159853,-0.0917942923666743,0.1079997504826597,47.080437039224485,-1850.5610781074013,10.157837515541042,10.179163132716896,9.028874485305993,10.187273769048865,11.345673052791737
2007-05-24,9.97,10.08,9.93,9.99,0.999,60600.0,0.0008560597901787,-0.0857149525539847,0.0865710123441635,46.858081650484,-1020.8536927024586,10.1298645962842,10.162714164654558,9.07755310575304,10.16848579104421,11.25941847633538
2007-05-25,9.92,10.05,9.92,10.04,1.004,61700.0,-0.0071909737675355,-0.0750095888893592,0.0678186151218237,48.176012686564974,1716.3821024324695,10.114887163570168,10.152043367728076,9.132071857586084,10.15624904904,11.180426240493915
2007-05-29,10.0,10.06,9.92,10.03,1.003,65900.0,-0.0142114020675396,-0.0656240137514907,0.051412611683951,47.92004370407948,132.79403414416595,10.10073930297514,10.141430900969112,9.177588823530265,10.144225330083808,11.110861836637351
2007-05-30,10.01,10.03,9.95,10.03,1.003,80000.0,-0.0195497843303069,-0.0567699168114064,0.0372201324810994,47.92004370407947,44.26467804805532,10.088949419145951,10.13174125740658,9.235913697479765,10.133346727218685,11.030779756957603
2007-05-31,10.03,10.08,9.9575,10.06,1.006,112200.0,-0.0211163255979407,-0.0466691664632321,0.0255528408652914,48.86532830463136,2258.75489268277,10.084124515954962,10.125502887197314,9.279398107243596,10.126361324626428,10.97332454200926
2007-06-01,10.11,10.11,10.01,10.04,1.004,85300.0,-0.0236984724532316,-0.0394010506548184,0.0157025782015867,48.23674421650396,-384.4150357724865,10.076770429962467,10.118067853527982,9.323264954172778,10.118136436566768,10.91300791896076
2007-06-04,10.05,10.67,10.02,10.56,1.056,222300.0,0.0160300275598945,0.0002619594866462,0.0157680680732483,61.94384255937845,76935.86165474271,10.157308691635391,10.1564967358299,9.255334958537274,10.160218680703268,11.06510240286926
2007-06-05,11.3,11.85,11.03,11.43,1.143,919000.0,0.1163753762589578,0.0804858465485676,0.0358895297103902,74.23618611298404,558665.2872182471,10.36942390969616,10.26723615010556,9.09387448629563,10.281150234922004,11.468425983548377
2007-06-06,11.5,11.54,11.0,11.2,1.12,350200.0,0.1753197334874627,0.111544163021658,0.0637755704658047,67.98429217719212,132524.42907274896,10.507853258080134,10.348346050096382,9.140172154267477,10.368659736358005,11.597147318448531
2007-06-07,11.3,11.34,11.1,11.15,1.115,186900.0,0.2155146602791724,0.1213912718506941,0.0941233884284783,66.66981796413164,37944.80969091645,10.61487771506678,10.418055089218436,9.263012901480096,10.443073094800098,11.6231332881201
2007-06-08,11.33,11.33,10.17,10.65,1.065,365600.0,0.2046643646284671,0.088432780959991,0.116231583668476,55.1800717808991,-109218.3967696945,10.620731429222316,10.438224211895095,9.063678339434372,10.46278041910485,11.861882498775328
2007-06-11,10.55,10.8,10.25,10.5101,1.05101,134700.0,0.1826709493508111,0.053151492545868,0.1295194568049431,52.45605853896007,-48969.15225656491,10.602292857685264,10.444474280425958,9.044289926154908,10.46728704585677,11.890284165558633
2007-06-12,10.41,11.13,10.41,10.73,1.073,145900.0,0.1808998012061984,0.0411042755210042,0.1397955256851941,56.122626774185335,5065.889247811778,10.623577381404388,10.46930260386718,8.999119456997299,10.492307327203743,11.985495197410192
2007-06-13,10.99,10.99,10.5525,10.66,1.066,80700.0,0.1718665677458197,0.0256568336485004,0.1462097340973193,54.677095411019344,-2077.370250729422,10.629647817836991,10.4858849861396,9.03229855633089,10.508278057946246,11.984257559561602
2007-06-14,10.8,10.92,10.7,10.76,1.076,154100.0,0.1708078626957139,0.0196785028787156,0.1511293598169982,56.404590930736894,9580.876583090156,10.651373181530824,10.509721074301371,9.122555836680329,10.53225157623708,11.941947315793833
2007-06-15,11.0,11.0,10.68,10.7399,1.07399,95400.0,0.1664284457738851,0.0122392687655095,0.1541891770083756,55.94303328813725,1915.265527696761,10.666127651275689,10.529736633057777,9.185160042710772,10.552027616595453,11.918895190480132
2007-06-18,10.89,10.89,10.5,10.75,1.075,121000.0,0.1619063562109257,0.00617374336204,0.1557326128488856,56.13726369206536,1453.1551758988844,10.680106376063074,10.54888996931362,9.22276384816689,10.570882129300648,11.919000410434403
2007-06-19,10.86,11.35,10.72,10.88,1.088,164500.0,0.1668886922375421,0.0089248635109251,0.1579638287266169,58.66333012967798,14741.051725299712,10.713421980052562,10.577682145895045,9.200595862627187,10.60032192651011,12.000047990393034
2007-06-20,10.97,11.3,10.91,10.97,1.097,230000.0,0.176069853600417,0.01448481989904,0.161585033701377,60.36513691348545,18713.683908433217,10.756184983377135,10.611796741904172,9.249110542376975,10.635529362080575,12.021948181784174
2007-06-21,11.1,11.11,10.86,10.99,1.099,148000.0,0.1828520187297311,0.0170135880226832,0.1658384307070478,60.75182994537175,8211.227969477697,10.79515415281428,10.644683981738591,9.343480966912503,10.669288470453854,11.995095973995204
2007-06-22,10.99,11.14,10.52,10.53,1.053,775200.0,0.1493867404836972,-0.0131613521786804,0.1625480926623777,48.927982630758514,-234990.9240101745,10.7509617940119,10.634711461587411,9.279339922444644,10.6560229018392,12.032705881233756
2007-06-25,10.53,10.8,10.28,10.47,1.047,215100.0,0.116678767607361,-0.0366954600440133,0.1533742276513744,47.62595194318876,-86934.30800339131,10.70413482834325,10.620388725797204,9.24416469173563,10.638306434997371,12.032448178259113
2007-06-26,10.49,10.51,10.2,10.24,1.024,107000.0,0.0713756120192652,-0.0655988925056873,0.1369745045249525,42.911816279740975,-45384.76933446381,10.626779023619376,10.5873114452931,9.25043472109414,10.600372488807146,11.95031025652015
2007-06-27,10.2,10.49,10.2,10.41,1.041,105700.0,0.0486295429742416,-0.0706759692405687,0.1193055122148104,47.08122044112633,-3148.923111487944,10.59064918634948,10.571893058745871,9.278012366704225,10.582241775587418,11.886471184470611
2007-06-28,10.39,10.39,9.91,10.08,1.008,218100.0,0.0039295795574929,-0.0923007461258539,0.0962303256833469,40.8450633664857,-49031.641037162655,10.505540988624563,10.52911974928971,9.21153499844668,10.534409225531473,11.857283452616269
2007-06-29,10.1,10.272,10.0,10.01,1.001,93100.0,-0.0367205864192481,-0.106360729682076,0.0696401432628279,39.64547634810434,-20688.54701238757,10.422950823853803,10.483978901525388,9.209864998594613,10.48446548976657,11.759065980938528
2007-07-02,10.08,10.22,10.0,10.04,1.004,129600.0,-0.0657573764418302,-0.1083180157637265,0.0425606393218962,40.452641827620376,-4304.18233746258,10.359125686544838,10.445372040523182,9.226068332061796,10.442135443122137,11.65820255418248
2007-07-03,10.03,10.52,10.03,10.43,1.043,155000.0,-0.0566465153319821,-0.0793657237231027,0.0227192083911206,49.84354973216538,38865.2725541792,10.370938072120698,10.444035341347254,9.200728490913052,10.440979686634314,11.681230882355576
2007-07-05,10.39,10.52,10.19,10.27,1.027,100800.0,-0.0616263647150674,-0.0674764584849504,0.0058500937698829,46.5968529668394,2203.090851393057,10.35411506010058,10.428901833404016,9.20827815844514,10.424695906954856,11.64111365546457
2007-07-06,10.38,10.38,10.1,10.18,1.018,85200.0,-0.0720051485369719,-0.0622841938454839,-0.0097209546914879,44.82800939111829,-4377.636382868973,10.325095883417152,10.407258195716713,9.22082309573608,10.40139153486392,11.581959973991756
2007-07-09,10.14,10.27,10.05,10.21,1.021,81600.0,-0.0769229404369031,-0.0537615885963321,-0.023161351840571,45.56972395658042,172.7878723770707,10.30591323618096,10.39010530913265,9.252173277094547,10.383163769638784,11.514154262183016
2007-07-10,10.25,10.25,9.99,10.0,1.0,390700.0,-0.0966514333449755,-0.0587920652035235,-0.0378593681414519,41.37644239881315,-54640.4040425412,10.254927696817466,10.356183108338508,9.249109155466495,10.346671982054136,11.444234808641776
2007-07-11,10.16,10.2,9.95,10.0,1.0,271000.0,-0.1110067889470851,-0.0585179366445065,-0.0524888523025785,41.376442398813154,-18213.4680141804,10.212439747347888,10.32521066413516,9.249193997803022,10.313655602810886,11.37811720781875
2007-07-12,10.0,10.04,9.8,9.91,0.991,330400.0,-0.1281683149721342,-0.0605435701356445,-0.0676247448364897,39.56676663854199,-25895.15600472677,10.162033122789907,10.289105388992972,9.243556474202736,10.275212212066991,11.30686794993125
2007-07-13,9.87,9.91,9.34,9.41,0.941,321000.0,-0.1800393873282573,-0.089931713993414,-0.0901076733348432,31.36054260652461,-115631.71866824226,10.03669426899159,10.212661442124018,9.096551095707236,10.192811049012994,11.289071002318751
2007-07-16,9.4,9.8896,9.37,9.79,0.979,135500.0,-0.1883139951590848,-0.0785650574593933,-0.1097489376996915,41.321284402004906,-4217.239556080858,9.995578557492992,10.17590827324367,9.01413670563988,10.154448091964138,11.294759478288396
2007-07-17,9.68,9.9,9.68,9.85,0.985,73700.0,-0.1878645967911119,-0.0624925272731362,-0.1253720695179756,42.73435650654284,1542.2534813064046,9.971315464577494,10.147568423396391,9.030885590817034,10.1254530355866,11.220020480356167
2007-07-18,9.85,9.93,9.8,9.9,0.99,190800.0,-0.1813829929781292,-0.0448087387681228,-0.1365742542100063,43.945778588842586,6874.084493768893,9.959429553814578,10.126040734405404,9.076515534548747,10.103981317911687,11.131447101274627
2007-07-19,9.92,9.99,9.9,9.9899,0.99899,52700.0,-0.1670662607260418,-0.0243936052128283,-0.1426726555132134,46.15149347481776,5449.8481645896345,9.96450796151215,10.1142024096745,9.137790245544103,10.093116430491529,11.04844261543895
2007-07-20,9.97,10.0,9.63,9.96,0.996,80800.0,-0.1563307438820853,-0.0109264706950975,-0.1454042731869878,45.51007017066577,206.00272152990036,9.96375663459346,10.100793504485411,9.110381650730382,10.08043867520662,11.05049569968286
2007-07-23,10.0,10.09,9.9301,10.0,1.0,48500.0,-0.1429472962820401,0.0019655815239581,-0.1449128778059983,46.57971274497166,1362.0009071766058,9.969797195494548,10.092028851921464,9.149421493517965,10.072777848996466,10.996134204474968
2007-07-24,10.0,10.05,9.94,10.0,1.0,96100.0,-0.1308326601705296,0.0112641741083749,-0.1420968342789046,46.57971274497166,454.000302392202,9.974830996245457,10.08402634305873,9.199000398897208,10.065846625282518,10.932692851667827
2007-07-25,10.04,10.05,9.85,10.03,1.003,87700.0,-0.1174570032721025,0.0197118648054416,-0.1371688680775442,47.47653510987723,1905.3334341306968,9.984025830204548,10.079328400184057,9.221000360906997,10.062432660969897,10.9038649610328
2007-07-26,9.87,10.0,9.5,9.72,0.972,124600.0,-0.1303683033856177,0.0054404517535411,-0.1358087551391589,40.00311865401207,-25115.555521956325,9.940021525170458,10.048082452341966,9.117095564630135,10.02982002659181,10.942544488553484
2007-07-27,9.71,9.74,9.32,9.34,0.934,83000.0,-0.1693117060000748,-0.0268023606887327,-0.1425093453113421,33.120632113338026,-29398.51850731882,9.840017937642047,9.986510065181797,9.018324558474887,9.964122881202115,10.909921203929343
2007-07-30,9.32,9.33,8.55,8.89,0.889,179700.0,-0.2337908766410308,-0.0730252250637509,-0.1607656515772798,27.161096499275946,-63709.506169106186,9.68168161470171,9.89116136386164,8.780388886239185,9.861825463944772,10.94326204165036
2007-07-31,9.0,9.15,8.95,8.95,0.895,63600.0,-0.2768581370960135,-0.0928739884149869,-0.1839841486810265,28.995616222698853,-18692.502056368787,9.559734678918092,9.809321245264975,8.722256611359263,9.77498494356908,10.827713275778898
2007-08-01,8.9,9.34,8.9,9.15,0.915,79900.0,-0.291490798283295,-0.0860053196818147,-0.2054854786014802,34.88293102354517,4422.499314543794,9.491445565765076,9.751988963068024,8.63727979122981,9.715462567991072,10.793645344752337
2007-08-02,9.14,9.39,8.96,9.17,0.917,180000.0,-0.2980378599168265,-0.0740419050522769,-0.2239959548645495,35.45923404235272,3874.166438181213,9.43787130480423,9.701381227149064,8.56515790635078,9.663513751991925,10.761869597633066
2007-08-03,9.26,9.26,8.9,8.9,0.89,83600.0,-0.3213093428500286,-0.0778507103883832,-0.2434586324616453,31.416853545866005,-13756.611187272903,9.348226087336858,9.631695903049147,8.494190486698326,9.59079815656412,10.687405826429917
2007-08-06,8.97,8.97,8.55,8.64,0.864,130700.0,-0.3566210819817392,-0.090529959616075,-0.2660911223656642,28.09533746167937,-27240.203729090947,9.23018840611405,9.545461476697048,8.388077107012771,9.500245951177062,10.612414795341351
2007-08-07,8.72,8.75,8.56,8.61,0.861,109300.0,-0.3826160789426875,-0.0932199652616186,-0.2893961136810689,27.73102652530222,-11266.067909697069,9.126823671761708,9.464117000462522,8.35492690634489,9.415460622493534,10.475994338642176
2007-08-08,8.91,8.962,8.62,8.75,0.875,413000.0,-0.3874541411890995,-0.0784464220064244,-0.309007719182675,32.152464118194565,34791.3106967678,9.06401972646809,9.40201986998752,8.291981486692997,9.352083420351294,10.41218535400959
2007-08-09,9.07,9.25,8.76,9.0,0.9,175000.0,-0.3668861940466676,-0.0463027798911941,-0.3205834141554735,39.29471015806196,40763.770232255934,9.05334977205674,9.367061620423389,8.21655467843652,9.318551666032125,10.420548653627726
2007-08-10,8.85,9.01,8.5,8.75,0.875,101200.0,-0.3665336862393875,-0.0367602176671311,-0.3297734685722563,35.29359286926676,-3278.743255914685,9.002791476713952,9.313404088212655,8.121644709061615,9.264403888314778,10.40716306756794
2007-08-13,8.77,8.8,8.62,8.72,0.872,75000.0,-0.3644736452366537,-0.0277601413315178,-0.3367135039051358,34.835206690962735,-2592.914418638197,8.955659563928293,9.261803732715906,8.127202355817651,9.212555898951466,10.29790944208528
2007-08-14,8.67,8.81,8.67,8.74,0.874,43100.0,-0.3571106655879408,-0.0163177293462439,-0.3407929362416968,35.437227136740546,-289.63813954607804,8.919716303273578,9.216429495088436,8.145564036215967,9.1675505752418,10.189537114267637
2007-08-15,8.68,8.9,8.68,8.7,0.87,40600.0,-0.3504631953151538,-0.0077362072587655,-0.3427269880563882,34.7458487127527,-1179.212713182051,8.883096919394648,9.17152258247205,8.135510318481115,9.123021949028296,10.11053357957548
