Date,Open,High,Low,Close,Adj Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLe_20_3.0,KCBe_20_3.0,KCUe_20_3.0
2019-05-10,42.0,45.0,41.06,41.57,41.57,186322536.0,,,,,,,,,,
2019-05-13,38.79,39.24,36.08,37.1,37.1,79442420.0,,,,,-355107617.3999999,,,,,
2019-05-14,38.31,39.96,36.85,39.96,39.96,46661147.0,,,,,-29401952.186666667,,,,,
2019-05-15,39.37,41.88,38.95,41.29,41.29,36086065.0,,,,,22195660.23777773,,,,,
2019-05-16,41.48,44.06,41.25,43.0,43.0,38115524.0,,,,,50850250.77259259,,,,,
2019-05-17,41.98,43.29,41.27,41.91,41.91,20225687.0,,,,,2252751.037530821,,,,,
2019-05-20,41.19,41.68,39.46,41.59,41.59,29222330.0,,,,,-5483180.05415626,,,,,
2019-05-21,42.0,42.24,41.25,41.5,41.5,10802851.0,,,,,-2475897.744718778,,,,,
2019-05-22,41.05,41.28,40.5,41.25,41.25,9089469.0,,,,,-2340210.7482395926,,,,,
2019-05-23,40.8,41.09,40.02,40.47,40.47,11119870.0,,,,,-6562402.649413206,,,,,
2019-05-24,41.28,41.51,40.5,41.51,41.51,8786751.0,,,,,3904679.810195592,41.01363636363636,,,,
2019-05-28,41.7,41.8,40.6,40.95,40.95,13391605.0,,,,,-3697972.5966014266,41.0030303030303,,,,
2019-05-29,40.52,40.71,39.1473,39.94,39.94,14060447.0,,,,,-10700025.17886719,40.82585858585858,,,,
2019-05-30,40.07,40.38,39.5,39.8,39.8,26451864.0,,,,,-6035515.699622407,40.65488215488215,,,,
2019-05-31,41.15,41.57,39.41,40.41,40.41,23209848.0,,,,46.04036670022043,7426832.953459188,40.6140684624018,,,,
2019-06-03,40.7435,41.85,40.24,41.25,41.25,16605261.0,,,,51.17297844985658,11774557.144486437,40.7200570520015,,,,
2019-06-04,42.56,42.88,40.7,42.75,42.75,23432141.0,,,,58.723382330802565,27356993.38149548,41.05838087666792,,,,
2019-06-05,42.87,45.66,42.5,45.0,45.0,28609604.0,,,,66.97332218462687,52033403.79383183,41.71531739722327,,,,
2019-06-06,45.0,45.75,44.28,44.92,44.92,16403691.0,,,,66.46465980564139,16469604.411277298,42.24943116435272,,,,
2019-06-07,44.92,45.67,44.13,44.16,44.16,12654670.0,,,,61.67253761948635,-921831.3295742768,42.56785930362727,,35.34712631578947,41.51649999999999,47.68587368421052
2019-06-10,44.02,44.59,42.53,42.61,42.61,11618701.0,,,,53.24134679617492,-12313268.143191405,42.57488275302272,,35.45025714285714,41.620642857142855,47.79102857142857
2019-06-11,43.22,43.65,41.8,42.45,42.45,9095044.0,,,,52.4443279466983,-5074560.741063781,42.55406896085227,41.60863636363637,35.58832789115646,41.69962925170068,47.810930612244896
