Date,Open,High,Low,Close,Adj Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLe_20_3.0,KCBe_20_3.0,KCUe_20_3.0
2012-10-12,48.05,51.37,45.05,48.69,48.69,18132800.0,,,,,,,,,,
2012-10-15,48.74,53.0,48.6,51.94,51.94,3091900.0,,,,,10048675.0,,,,,
2012-10-16,53.49,53.5,51.91,52.16,52.16,805200.0,,,,,3467654.333333333,,,,,
2012-10-17,52.02,57.21,52.0,55.41,55.41,1386400.0,,,,,4159751.444444444,,,,,
2012-10-18,55.08,55.1,50.87,53.42,53.42,1523300.0,,,,,-634327.5185185131,,,,,
2012-10-19,52.33,55.58,51.53,55.25,55.25,1442200.0,,,,,1548041.493827161,,,,,
2012-10-22,55.58,56.22,54.11,55.4,55.4,478200.0,,,,,563833.8312757198,,,,,
2012-10-23,55.37,55.51,54.14,54.38,54.38,386300.0,,,,,-74739.389574759,,,,,
2012-10-24,54.01,54.25,51.86,52.12,52.12,469600.0,,,,,-732443.7965249212,,,,,
2012-10-25,53.33,53.33,48.6,49.24,49.24,800600.0,,,,,-1781299.932174971,,,,,
2012-10-26,49.65,50.5,48.2,50.0,50.0,484600.0,,,,,-348235.9773916578,52.54636363636364,,,,
2012-10-31,51.0,51.03,48.09,48.5,48.5,400900.0,,,,,-516978.6591305526,51.8719696969697,,,,
2012-11-01,49.1,49.66,48.18,48.92,48.92,305900.0,,,,,-86674.21971018388,51.37997474747475,,,,
2012-11-02,50.74,50.74,48.3,48.52,48.52,178900.0,,,,,-76598.0732367278,50.90331228956229,,,,
2012-11-05,49.98,50.0,48.74,49.88,49.88,310200.0,,,,48.074943512359965,255715.30892109065,50.73276024130191,,,,
2012-11-06,48.53,50.33,48.25,48.54,48.54,509900.0,,,,43.14990189728656,-370272.2303596376,50.36730020108493,,,,
2012-11-07,48.43,48.71,46.82,48.07,48.07,284100.0,,,,41.5423680928106,-212442.0767865457,49.98441683423745,,,,
2012-11-08,49.25,49.68,47.69,49.05,49.05,278600.0,,,,46.05513894526625,111204.64107115084,49.82868069519788,,,,
2012-11-09,49.6,49.6,47.6,48.0,48.0,120400.0,,,,42.288354593866366,-47211.78630961615,49.52390057933157,,,,
2012-11-12,47.47,47.68,46.38,46.99,46.99,274800.0,,,,38.98533823078757,-200769.26210320505,49.10158381610964,,42.71242105263158,50.724,58.73557894736842
2012-11-13,46.21,47.27,46.0,46.99,46.99,279200.0,,,,38.985338230787576,-66923.08736773502,48.74965318009137,,42.75695238095239,50.36838095238096,57.97980952380953
2012-11-14,46.77,48.5,46.75,47.38,47.38,267200.0,,,,41.04741757483628,47164.30421075508,48.52137765007615,50.40227272727273,42.697242630385496,50.08377324263039,57.47030385487529
2012-11-15,48.11,48.62,47.07,47.94,47.94,371800.0,,,,43.975333149364495,154526.7680702505,48.42448137506346,50.18816205533598,42.75369571320593,49.87960436237988,57.00551301155383
2012-11-16,47.5,48.95,47.4001,48.85,48.85,194200.0,,,,48.455328283815945,169323.58935675066,48.49540114588621,50.07180013748068,42.89146755004346,49.78154680405799,56.67162605807252
2012-11-19,49.95,49.95,48.92,49.61,49.61,216200.0,,,,51.9137359101542,165982.52978558326,48.681167621571845,50.03164360378671,43.21704206908694,49.76520901319533,56.313375957303705
2012-11-20,49.86,51.0,49.62,50.71,50.71,314900.0,-1.1486191501683225,,,56.46654381154099,286254.17659519473,49.01930635130987,50.09063111650091,43.53351425298342,49.85518910717673,56.17686396137003
2012-11-21,51.05,52.1,51.05,51.95,51.95,441300.0,-0.8346391713346222,,,60.95444765479249,460226.0588650655,49.50775529275823,50.25231536723996,43.93794146698501,50.05469490649323,56.171448346001455
2012-11-23,52.46,52.46,50.43,50.79,50.79,148800.0,-0.6716675164497019,,,55.21944742971159,38336.68628835482,49.72146274396519,50.29907055269736,44.01051847012929,50.124723963017686,56.23892945590608
2012-11-26,50.8,51.75,50.0,50.82,50.82,341700.0,-0.5339356783894402,,,55.33648596483077,19612.895429451863,49.90455228663766,50.34436876550629,44.15904052059317,50.19094072844457,56.22284093629597
2012-11-27,51.0,53.19,50.73,51.85,51.85,852500.0,-0.3377761394147143,,,59.27226196503115,591920.9651431512,50.22879357219805,50.47529322067966,44.1886557091081,50.348946373354615,56.509237037601125
2012-11-28,51.05,53.22,49.02,53.19,53.19,1223800.0,-0.0733460033015802,,,63.74797296341046,1290568.3217143808,50.72232797683171,50.711354679751,43.84592659395496,50.6195229092256,57.393119224496246
