Date,Open,High,Low,Close,Adj Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLe_20_3.0,KCBe_20_3.0,KCUe_20_3.0
2007-01-05,28.02,29.87,27.08,29.29,29.29,10317200.0,,,,,,,,,,
2007-01-12,30.0,30.0,28.49,29.78,29.78,13103400.0,,,,,6420666.000000026,,,,,
2007-01-19,29.71,30.56,28.25,28.41,28.41,13041300.0,,,,,-9770831.999999998,,,,,
2007-01-26,28.6,28.86,27.69,28.78,28.78,10077300.0,,,,,-771209.999999993,,,,,
2007-02-02,28.74,28.78,27.11,27.52,27.52,14255100.0,,,,,-12231354.000000013,,,,,
2007-02-09,27.45,28.82,26.08,28.29,28.29,19717900.0,,,,,6044737.333333322,,,,,
2007-02-16,28.8,31.65,28.2,31.57,31.57,19705200.0,,,,,45103616.444444455,,,,,
2007-02-23,31.68,32.63,31.32,32.5,32.5,9973800.0,,,,,21218294.814814817,,,,,
2007-03-02,32.69,32.8,26.9,27.1,27.1,32591500.0,,,,,-110256635.06172834,,,,,
2007-03-09,26.6901,27.42,25.88,26.5,26.5,19756100.0,,,,,-44654651.687242806,,,,,
2007-03-16,26.34,26.79,24.75,25.06,25.06,14248500.0,,,,,-28563443.895747617,28.61818181818182,,,,
2007-03-23,25.2,26.89,25.2,26.69,26.69,12833000.0,,,,,4424045.368084148,28.296818181818185,,,,
2007-03-30,26.68,28.47,26.5,27.95,27.95,19701500.0,,,,,18023941.789361354,28.239015151515154,,,,
2007-04-05,28.15,29.1,28.0,28.85,28.85,11713800.0,,,,,13036260.5964538,28.340845959595963,,,,
2007-04-13,28.99,29.04,28.12,28.71,28.71,10571100.0,,,,50.35643019667933,3358784.19881793,28.402371632996637,,,,
2007-04-20,28.52,28.88,27.66,28.4,28.4,12564000.0,,,,49.055605286902505,-1476965.2670607085,28.40197636083053,,,,
2007-04-27,28.5,30.84,27.83,30.19,30.19,15623500.0,,,,56.10644282602384,18151721.577646457,28.69998030069211,,,,
2007-05-04,30.95,30.95,29.06,29.93,29.93,13559500.0,,,,54.91750243906709,3700260.5258821384,28.904983583910095,,,,
2007-05-11,29.85,30.3,29.02,29.86,29.86,8661100.0,,,,54.58214548013175,829235.508627378,29.064152986591747,,,,
2007-05-18,29.76,30.02,28.22,29.36,29.36,11052300.0,,,,52.13326215792174,-3407688.163790874,29.113460822159787,,22.624894736842105,28.737000000000002,34.849105263157895
2007-05-25,29.49,30.45,28.88,30.0,30.0,13225500.0,,,,54.92120848608603,4506983.945403047,29.261217351799825,,22.878714285714285,28.857285714285716,34.835857142857144
