Date,Open,High,Low,Close,Adj Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLe_20_3.0,KCBe_20_3.0,KCUe_20_3.0
2007-01-05,34.21,34.55,33.99,34.19,28.352,33930800.0,,,,,,,,,,
2007-01-12,34.19,35.29,33.95,35.21,29.1979,52773500.0,,,,,53828970.000000164,,,,,
2007-01-19,35.09,35.97,34.89,35.5,29.4384,50454600.0,,,,,27697546.000000026,,,,,
2007-01-26,35.45,35.75,34.47,34.55,28.6506,51016100.0,,,,,-23077681.333333418,,,,,
2007-02-02,34.56,35.38,34.44,35.18,29.173,42833600.0,,,,,10297551.555555597,,,,,
2007-02-09,35.4,36.09,33.92,34.36,28.493,69062400.0,,,,,-34321594.81481481,,,,,
2007-02-16,34.6,34.91,33.77,34.89,28.9325,63888900.0,,,,,11133546.395061776,,,,,
2007-02-23,34.82,35.24,34.67,35.14,29.1398,32180900.0,,,,,9074665.465020593,,,,,
2007-03-02,35.14,35.29,32.65,33.95,28.153,63179400.0,,,,,-47097435.5116597,,,,,
2007-03-09,33.55,34.9,33.42,34.37,28.5013,51575000.0,,,,,-1258145.1705534197,,,,,
2007-03-16,34.18,34.46,33.28,33.61,27.8711,59930500.0,,,,,-30784168.39018439,34.63181818181818,,,,
2007-03-23,33.87,35.42,33.81,34.99,29.0154,46366500.0,,,,,32395790.536605276,34.691515151515155,,,,
2007-03-30,34.89,35.25,34.04,34.43,28.5511,53435000.0,,,,,-9150469.821131652,34.6479292929293,,,,
2007-04-05,34.4,35.17,34.24,34.91,28.9491,36985300.0,,,,,8785139.392956037,34.69160774410775,,,,
2007-04-13,34.91,35.08,34.34,34.72,28.7916,46116500.0,,,,52.09801441949727,-2913043.5356812505,34.69633978675646,,,,
2007-04-20,34.8,35.32,34.57,35.28,29.2559,44984700.0,,,,56.51785433723054,15823273.488106316,34.79361648896372,,,,
2007-04-27,35.2,35.47,34.79,34.98,29.0072,36905000.0,,,,53.66136472640269,-2106575.5039646653,34.82468040746977,,,,
2007-05-04,35.02,36.16,34.7,35.85,29.7286,49062400.0,,,,59.97853579603031,27754000.16534526,34.99556700622481,,,,
2007-05-11,35.98,36.57,35.55,36.07,29.911,55703300.0,,,,61.41115029785785,17421150.721781712,35.17463917185401,,,,
