Date,Open,High,Low,Close,Adj Close,Volume,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,RSI_14,EFI_2,EMA_11,EMA_22,KCLe_20_3.0,KCBe_20_3.0,KCUe_20_3.0
2011-07-01,36.69,47.43,36.59,42.2,14.153,10051000.0,,,,,,,,,,
2011-07-08,42.21,43.26,40.52,41.41,13.888,27965300.0,,,,,-22092587.000000175,,,,,
2011-07-15,40.79,41.24,38.1,39.16,13.1334,25308000.0,,,,,-45326195.666666724,,,,,
2011-07-22,38.73,40.82,37.75,40.57,13.6063,17039200.0,,,,,908116.1111111306,,,,,
2011-07-29,41.25,44.61,40.65,43.79,14.6862,22292700.0,,,,,48157701.37037036,,,,,
2011-08-05,45.04,45.4,33.44,37.31,12.513,31827100.0,,,,,-121440504.87654315,,,,,
2011-08-12,35.24,39.12,29.48,37.41,12.5465,26471500.0,,,,,-38715401.625514485,,,,,
2011-08-19,37.89,39.96,34.64,34.99,11.7949,17452700.0,,,,,-41062156.541838095,,,,,
2011-08-26,35.82,36.895,32.05,34.87,11.7545,20056900.0,,,,,-15291937.513946094,,,,,
2011-09-02,35.27,38.22,34.75,35.42,11.9399,11200400.0,,,,,-990499.1713153338,,,,,
2011-09-09,34.23,38.15,33.29,36.35,12.2534,10455600.0,,,,,6152305.609561552,38.49818181818182,,,,
2011-09-16,36.12,36.96,34.44,35.1,11.832,15991800.0,,,,,-11275731.463479482,37.93181818181819,,,,
2011-09-23,34.18,34.56,28.84,29.53,9.9544,15405000.0,,,,,-60962477.15449316,36.53151515151516,,,,
2011-09-30,29.9,31.82,26.35,27.06,9.1218,23185700.0,,,,,-58499945.05149776,34.9529292929293,,,,
2011-10-07,26.91,33.98,26.61,31.6,10.6522,22911600.0,,,,35.58197119070388,49845794.316167444,34.39410774410775,,,,
2011-10-14,32.28,36.2,32.08,36.14,12.1826,16122600.0,,,,47.298664102965645,65413000.772055805,34.685089786756464,,,,
2011-10-21,36.04,37.68,34.17,37.35,12.5905,13198300.0,,,,49.91343169685015,32450962.257351942,35.12924148896372,,,,
2011-10-28,37.55,38.47,31.41,37.32,12.5804,23793000.0,,,,49.84739664560588,10341127.419117296,35.49436790746977,,,,
2011-11-04,37.01,39.55,34.2922,38.62,13.0186,21200700.0,,,,52.763744556926405,21820982.473039057,36.01530658955814,,,,
2011-11-11,38.13,39.44,36.0,37.77,12.7321,15531100.0,,,,50.68828761512259,-1527295.842320255,36.30775549129845,,21.107531578947373,36.6985,52.28946842105263
2011-11-18,37.43,37.63,31.24,32.82,11.1388,30253700.0,,,,40.65833900469754,-100346308.6141068,35.726462909415375,,20.35729047619048,36.32911904761905,52.30094761904762
2011-11-25,32.33,33.55,31.3,32.27,10.9521,11816300.0,,,,39.71792346576992,-37781412.871368915,35.15038575784615,36.32090909090909,20.84897709750567,35.94253628117914,51.03609546485261
2011-12-02,33.62,34.77,32.45,33.31,11.3051,20522100.0,,,,42.429521654026175,1634851.7095436808,34.84365479820513,36.05909090909091,21.321455469171802,35.69181854011446,50.06218161105712
2011-12-09,34.03,35.45,33.49,34.88,11.8379,19663800.0,,,,46.352682705312,21126394.569847897,34.84971233183761,35.95656126482214,22.0013168530602,35.61450248867499,49.22768812428977
2011-12-16,34.42,34.89,31.79,31.96,10.8469,18628100.0,,,,40.78578764043133,-29220569.81005072,34.36809360986467,35.60903419831587,22.06404858134018,35.2664546326107,48.468860683881225
2011-12-23,32.0,33.58,31.72,33.53,11.3797,11204200.0,-1.5251384818976987,,,44.63585429105745,1986872.7299830932,34.228411341553894,35.428248615853626,22.624615383117305,35.10107800093349,47.57754061874968
2011-12-30,33.55,33.98,32.745,33.29,11.2983,4558700.0,-1.4966819370166604,,,44.16314024144857,-67101.09000564157,34.07200945129491,35.24231395360548,23.287509156153753,34.92859438179697,46.569679607440186
2012-01-06,34.55,34.95,31.0,31.66,10.7451,15390600.0,-1.5873592088390183,,,40.98820681003371,-16746819.03000187,33.67000787607909,34.9308083924224,22.956317807948633,34.61729967876869,46.27828154958874
2012-01-13,31.63,33.33,30.24,33.03,11.2101,19368300.0,-1.5310253425022466,,,44.59359705711922,12107440.989999387,33.56333989673258,34.7655207061248,23.032858969096385,34.46612828079072,45.89939759248506
2012-01-20,33.43,37.78,32.94,37.17,12.6151,14195700.0,-1.1391851299306737,,,53.78286553448358,43215945.66333313,34.16444991394381,34.974605862113954,22.996396210134826,34.72363987309637,46.45088353605791
2012-01-27,37.17,39.04,37.01,37.53,12.7373,17750100.0,-0.7904876969480412,,,54.48969969194297,18665339.221111037,34.72537492828651,35.19681404801709,23.800548952026745,34.990912266134806,46.18127558024287
2012-02-03,36.98,44.275,36.9,43.98,14.9264,27288900.0,0.00624661888677025,,,64.85938853198708,123564049.74037026,36.267812440238764,35.960569348189516,23.615258575643246,35.847015859836254,48.07877314402926
